name	TCGA.A1.A0SK	TCGA.A1.A0SO	TCGA.A1.A0SP	TCGA.A2.A04P	TCGA.A2.A04Q	TCGA.A2.A04T	TCGA.A2.A04U	TCGA.A2.A0CM	TCGA.A2.A0D0	TCGA.A2.A0D2	TCGA.A2.A0ST	TCGA.A2.A0SX	TCGA.A2.A0T0	TCGA.A2.A0T2	TCGA.A2.A0YE	TCGA.A2.A0YJ	TCGA.A2.A0YM	TCGA.A2.A1G1	TCGA.A2.A25F	TCGA.A2.A3XS	TCGA.A2.A3XT	TCGA.A2.A3XU	TCGA.A2.A3XX	TCGA.A2.A3XY	TCGA.A2.A3Y0	TCGA.A2.A4RX	TCGA.A2.A4S1	TCGA.A7.A0CE	TCGA.A7.A0DA	TCGA.A7.A26F	TCGA.A7.A26G	TCGA.A7.A26I	TCGA.A7.A4SD	TCGA.A7.A4SE	TCGA.A7.A5ZV	TCGA.A7.A6VV	TCGA.A7.A6VW	TCGA.A7.A6VY	TCGA.A8.A07C	TCGA.A8.A07O	TCGA.A8.A07R	TCGA.A8.A07U	TCGA.A8.A08R	TCGA.AC.A2BK	TCGA.AC.A2QH	TCGA.AC.A2QJ	TCGA.AC.A62X	TCGA.AC.A6IW	TCGA.AC.A7VC	TCGA.AC.A8OQ	TCGA.AN.A04D	TCGA.AN.A0AL	TCGA.AN.A0AR	TCGA.AN.A0AT	TCGA.AN.A0FJ	TCGA.AN.A0FL	TCGA.AN.A0FX	TCGA.AN.A0G0	TCGA.AN.A0XU	TCGA.AO.A0J4	TCGA.AO.A0J6	TCGA.AO.A0JL	TCGA.AO.A124	TCGA.AO.A128	TCGA.AO.A129	TCGA.AO.A12F	TCGA.AO.A1KR	TCGA.AQ.A04J	TCGA.AQ.A54N	TCGA.AR.A0TP	TCGA.AR.A0TS	TCGA.AR.A0TU	TCGA.AR.A0U0	TCGA.AR.A0U4	TCGA.AR.A1AH	TCGA.AR.A1AI	TCGA.AR.A1AJ	TCGA.AR.A1AQ	TCGA.AR.A1AR	TCGA.AR.A1AY	TCGA.AR.A24Q	TCGA.AR.A251	TCGA.AR.A256	TCGA.AR.A2LR	TCGA.AR.A5QQ	TCGA.B6.A0I1	TCGA.B6.A0I2	TCGA.B6.A0I6	TCGA.B6.A0IJ	TCGA.B6.A0IQ	TCGA.B6.A0RE	TCGA.B6.A0RT	TCGA.B6.A0RU	TCGA.B6.A0WX	TCGA.B6.A0X1	TCGA.B6.A1KF	TCGA.B6.A3ZX	TCGA.B6.A400	TCGA.B6.A402	TCGA.B6.A409	TCGA.BH.A0AV	TCGA.BH.A0B3	TCGA.BH.A0B9	TCGA.BH.A0BG	TCGA.BH.A0BL	TCGA.BH.A0BW	TCGA.BH.A0DL	TCGA.BH.A0E0	TCGA.BH.A0E6	TCGA.BH.A0RX	TCGA.BH.A0WA	TCGA.BH.A18G	TCGA.BH.A18Q	TCGA.BH.A18T	TCGA.BH.A18V	TCGA.BH.A1F0	TCGA.BH.A1F6	TCGA.BH.A1FC	TCGA.BH.A5IZ	TCGA.C8.A12K	TCGA.C8.A12V	TCGA.C8.A131	TCGA.C8.A134	TCGA.C8.A1HJ	TCGA.C8.A27B	TCGA.D8.A142	TCGA.D8.A143	TCGA.D8.A147	TCGA.D8.A1JK	TCGA.D8.A1JL	TCGA.D8.A1JM	TCGA.D8.A1XK	TCGA.D8.A1XQ	TCGA.D8.A27F	TCGA.D8.A27H	TCGA.D8.A27M	TCGA.E2.A14N	TCGA.E2.A14R	TCGA.E2.A14X	TCGA.E2.A14Y	TCGA.E2.A150	TCGA.E2.A158	TCGA.E2.A159	TCGA.E2.A1AZ	TCGA.E2.A1B6	TCGA.E2.A1II	TCGA.E2.A1LG	TCGA.E2.A1LH	TCGA.E2.A1LI	TCGA.E2.A1LK	TCGA.E2.A1LL	TCGA.E2.A1LS	TCGA.E2.A573	TCGA.E2.A574	TCGA.E9.A1N8	TCGA.E9.A1N9	TCGA.E9.A1NC	TCGA.E9.A1ND	TCGA.E9.A22G	TCGA.E9.A243	TCGA.E9.A244	TCGA.E9.A3QA	TCGA.E9.A5FL	TCGA.EW.A1OW	TCGA.EW.A1P4	TCGA.EW.A1P8	TCGA.EW.A1PB	TCGA.EW.A1PH	TCGA.EW.A3U0	TCGA.EW.A6SB	TCGA.GI.A2C9	TCGA.GM.A2DF	TCGA.GM.A3XL	TCGA.HN.A2NL	TCGA.LL.A5YP	TCGA.LL.A6FR	TCGA.LL.A73Y	TCGA.LL.A8F5	TCGA.OL.A5D7	TCGA.OL.A5RW	TCGA.OL.A5S0	TCGA.OL.A66I	TCGA.OL.A6VO	TCGA.PL.A8LV	TCGA.PL.A8LZ	TCGA.S3.AA0Z	TCGA.S3.AA10	TCGA.S3.AA15
ENSG00000002746|HECW1|protein_coding	0.0274886	0.014001300000000001	0.056796900000000004	0.0398571	0.050641900000000004	0.0493216	0.054925199999999993	0.09653099999999999	0.182719	0.008532399999999999	0.036936000000000004	0.309693	0.19503299999999998	0.0315849	0.09979760000000001	0.0220671	0.148351	0.294746	0.08634299999999999	0.0297616	0.836715	0.107226	0.07713660000000001	0.0695197	0.0527124	0.22192399999999998	0.33436	0.0812345	0.06790089999999999	0.5616760000000001	0.11668599999999998	1.10933	0.346402	0.214123	1.2852299999999999	0.212831	0.10045	0.168486	0.0661012	0.676932	0.09695210000000001	0.11063699999999999	0.162557	0.00369182	0.211823	0.22101700000000002	0.028357	0.5326420000000001	0.452892	0.11561400000000001	0.00593158	0.0754423	0.0544534	0.0844326	0.0643954	0.00283287	0.13880599999999998	0.07276339999999999	0.589893	0.169577	0.0284601	0.038981699999999994	0.043047699999999994	0.369388	0.113898	0.0472049	0.163295	0.104104	0.060508400000000004	0.125607	0.0322264	0.00922327	0.0566725	0.12601500000000002	0.0285913	0.072469	0.293342	0.176545	0.12259500000000001	0.166166	0.32174400000000003	0.22206900000000002	0.241748	0.328196	0.44581499999999996	0.324423	0.0116543	0.121519	0.027592500000000002	0.125633	0.134734	0.062752	0.387133	0.276082	1.138	0.108119	0.0511152	0.0462358	0.037449699999999995	0.018884099999999997	0.265472	0.169297	0.024159200000000002	0.130966	0.328935	0.140098	0.042408	0.036609699999999995	0.0109454	0.0419255	0.34257	0.135953	0.07067810000000001	0.543909	0.158146	0.0393219	0.0486351	0.0961817	0.06353550000000001	0.0945661	0.08159839999999999	0.08032230000000001	0.038134100000000004	0.0704072	0.0499865	0.14693499999999998	0.0188194	0.296156	0.19903900000000002	0.36886399999999997	0.00813867	0.039552	0.150018	0.15218199999999998	1.32379	0.5286109999999999	0.027987099999999997	0.0203653	0.0126375	0.018462799999999998	0.0976657	0.0233937	0.259048	0.39331900000000003	0.0310556	0.058966099999999994	0.0429483	0.0477423	0.0212763	0.388299	4.1098	0.032510700000000003	0.0479665	0.326358	0.06823860000000001	0.07667539999999999	0.0991309	0.129054	0.0239368	0.0709211	0.0795845	0.055606899999999994	0.52591	0.405487	0.562987	0.223944	0.0133438	0.376713	0.330348	0.044599099999999996	0.363209	0.06710060000000001	0.0802397	0.0157738	0.134116	0.0778135	0.165029	0.043571	0.16964300000000002	0.397698	0.147548	0.29328000000000004	0.043063599999999994	0.028325299999999998	0.0229825	0.319286	0.164888	0.0274808
ENSG00000005001|PRSS22|protein_coding	0.926426	0.42415600000000003	2.46466	12.5065	2.3479200000000002	5.44536	9.139619999999999	20.7494	18.4786	14.3302	5.754569999999999	10.9345	9.80534	47.0264	50.0792	30.4472	7.54414	8.44683	0.991207	41.4266	4.28075	8.64134	32.9567	32.8312	46.4311	11.205	0.0196682	4.22915	23.736	10.6708	16.8835	1.90025	38.054	45.0061	0.837642	23.9226	46.3265	16.5298	6.28228	6.30492	3.2307799999999998	6.985519999999999	8.99917	5.468999999999999	0.0	3.77225	44.9455	19.5615	0.5749310000000001	4.9573	33.8468	15.8279	4.46967	5.95604	15.0407	17.2325	4.3545	27.221	9.51446	9.47298	33.2666	18.148	36.5841	12.3895	6.43801	19.0235	11.9624	11.4796	32.5759	9.9498	14.4899	0.977938	16.6433	0.6468550000000001	7.12167	13.7549	11.4602	3.72595	6.67715	7.99275	10.4871	14.2949	8.43171	0.8871690000000001	34.1735	14.8289	6.12751	7.927980000000001	13.1263	0.5512050000000001	21.2458	2.88321	7.7860000000000005	22.6199	5.70985	5.7289	7.85654	12.3177	17.6197	19.9719	2.31154	29.6316	13.3437	7.604369999999999	7.0030399999999995	22.3524	107.77	12.7764	11.4653	3.94167	3.18628	36.0375	32.4381	7.45378	4.94509	20.0496	61.1443	2.35901	17.0702	0.7957770000000001	3.73645	31.7569	19.0185	0.396115	9.16704	31.355999999999998	10.9774	4.45657	15.0085	15.9182	41.4786	20.8929	25.7055	1.7571	22.076999999999998	15.7647	5.7354199999999995	27.1293	11.5427	10.6643	21.3374	6.69715	24.3319	8.89673	7.140439999999999	2.38177	11.6085	18.7346	1.60798	11.86	14.4944	3.1836900000000004	14.7748	18.2957	12.8628	1.81843	9.50835	45.1211	2.02277	8.8943	4.06303	15.3588	30.7927	2.33545	23.1543	6.27666	25.0358	37.7338	5.33739	4.08249	9.6002	1.67475	23.461	2.57172	3.6243800000000004	7.4844	51.3938	11.3373	3.76875	8.69252	18.9904	14.4693	10.5931	6.27121	13.4057	9.11979	5.16499	3.35273
ENSG00000006047|YBX2|protein_coding	14.7331	17.0469	3.52084	9.61985	1.2287700000000001	1.9815	0.584612	1.8845900000000002	1.9009900000000002	0.129637	0.258239	0.9208860000000001	5.7268099999999995	8.839360000000001	10.6619	9.28456	9.954880000000001	1.2536399999999999	0.8630610000000001	13.0778	3.06515	0.585073	13.515	5.58778	2.46427	3.5859699999999997	0.0569092	4.98002	6.3356900000000005	5.51599	0.49283699999999997	0.05656669999999999	2.61996	4.397819999999999	4.03947	11.8421	4.85515	4.02945	4.923080000000001	20.5156	4.46736	1.4904	37.7788	1.6288200000000002	0.270773	0.105519	2.79495	0.7542300000000001	0.044108999999999995	0.736243	7.337969999999999	2.06599	12.9896	2.68195	1.25121	9.46493	2.24864	1.63412	13.4097	6.13068	6.24306	12.1834	2.48202	13.5909	2.2848900000000003	0.595046	0.21205300000000002	2.12921	0.7071810000000001	4.16843	13.5541	3.8447	15.8477	1.32447	2.16273	2.16628	4.98116	0.146153	2.0158400000000003	8.43716	8.209810000000001	25.2962	3.3690800000000003	6.17405	0.218879	27.0153	0.35186999999999996	9.72606	5.40991	0.85757	1.1810100000000001	0.737222	9.63037	11.7745	5.801480000000001	46.6217	0.263327	3.48063	9.47338	7.32004	1.9554099999999999	13.8464	18.308	1.7379099999999998	3.0034099999999997	1.58397	1.37304	0.320902	1.21881	0.8786139999999999	20.4298	0.215166	18.6826	1.4608299999999999	6.628410000000001	3.86292	2.15523	9.203610000000001	0.27846	5.92139	2.04946	8.24629	10.8938	5.55438	1.1434799999999998	12.3337	2.4194299999999997	1.41957	18.8531	2.52715	1.87068	9.81867	7.12913	9.59352	1.7679	3.3292800000000002	0.557983	21.9768	8.29652	2.48148	1.41562	1.7173599999999998	13.4986	2.80189	3.39923	0.567117	28.1929	1.6646400000000001	8.58215	17.6588	0.48313100000000003	0.101618	6.935160000000001	1.43536	3.39687	13.0195	3.1901599999999997	5.24576	0.276075	1.4416200000000001	4.09028	3.9912	1.1294799999999998	1.4334200000000001	1.18829	2.7721400000000003	0.58049	14.988	0.678264	0.581117	5.6776	1.35191	8.58755	0.682946	5.79708	2.54072	3.52756	8.44355	3.81152	3.11678	3.8738300000000003	9.50951	2.4108	3.2690900000000003	0.39069499999999996	9.35463	2.62086	0.824839
ENSG00000006555|TTC22|protein_coding	6.519909999999999	12.8765	4.6898	4.6395599999999995	6.35889	3.05912	9.061639999999999	10.868	16.5571	2.29305	4.27122	8.513539999999999	8.5073	16.7851	8.65526	15.8073	8.39467	7.9178	3.20257	10.495999999999999	16.3443	12.4107	12.9097	7.58818	16.9317	5.38745	0.202548	9.43334	10.526	6.60589	5.06658	3.29605	8.11623	10.1886	35.6118	7.007810000000001	10.0578	10.3097	4.55187	72.7679	4.36477	4.03033	1.08673	2.29941	0.00737543	0.772574	20.6044	14.7231	0.028835000000000003	3.9405099999999997	31.2473	7.439960000000001	3.6518800000000002	5.622999999999999	11.687999999999999	5.788819999999999	13.9879	9.26778	10.8484	6.2704	21.9435	6.13954	13.2508	10.1231	13.9936	11.4539	12.4861	10.1146	16.1275	9.361239999999999	5.5372	17.2475	9.75028	7.9485399999999995	31.4991	11.1584	7.4324699999999995	6.54705	5.27784	11.3298	6.52557	8.24915	16.3882	3.5161300000000004	8.63167	11.6362	10.3392	7.1567	17.7232	8.15991	18.2875	13.0107	13.8829	14.2795	75.3378	5.58524	16.5133	8.51227	5.58173	14.7075	5.67845	10.6328	10.8448	12.5311	4.3810400000000005	14.5872	33.2163	15.1986	18.0329	10.873	8.8594	9.07191	7.22037	16.7661	12.1198	8.54832	11.592	5.54378	16.3838	7.8439	14.8545	6.341880000000001	25.8771	10.8819	11.9948	0.325092	5.47472	10.1366	3.09672	15.2901	12.3085	6.8421199999999995	2.83465	5.3012	7.49406	13.0884	14.5351	8.64682	8.362219999999999	18.8799	18.3755	9.259730000000001	6.729419999999999	10.6262	7.94077	11.9903	6.33522	4.3442300000000005	8.469330000000001	15.3767	1.65218	3.6358300000000003	5.94785	5.65348	14.5136	0.766446	6.1822	13.7533	24.68	2.97559	9.93432	10.9261	16.1067	15.8574	6.988110000000001	12.3159	20.6066	5.45655	4.0587800000000005	5.9604099999999995	13.7729	4.04394	7.98573	0.597558	4.1414	4.44771	6.71242	5.19321	10.1157	5.84334	9.40829	13.5208	7.88817	3.2717400000000003	10.5315	11.8922	5.239669999999999	2.34097
ENSG00000006576|PHTF2|protein_coding	17.5617	10.7133	8.20256	4.56034	5.95489	5.422219999999999	10.237	15.0031	4.463830000000001	8.41553	6.62067	11.7769	10.0161	6.08215	13.9768	8.54375	13.4462	15.3328	17.7565	7.36877	8.274560000000001	5.0846599999999995	5.04973	11.7488	4.16213	14.205	8.76427	8.66766	10.7832	4.22093	16.4882	7.99145	10.4443	14.6442	9.48928	16.1491	6.19612	6.46052	17.910999999999998	8.4804	6.4631300000000005	7.587960000000001	16.2033	15.1527	2.93899	4.74322	10.1401	8.81552	9.04349	7.51555	10.314	8.67089	5.15749	12.9639	18.9334	4.4519400000000005	13.7386	12.5022	9.31213	13.9661	9.15461	5.74794	14.3542	15.4428	4.24865	10.4588	4.3683	8.59077	5.86477	9.08	14.2593	20.2186	9.64293	19.5403	12.4142	10.9507	13.2135	5.71237	29.4088	20.9985	13.5534	37.8521	23.3388	17.3315	10.0227	7.5628	5.7615	12.9364	8.25137	8.15185	10.8602	12.1149	12.6678	6.29392	9.35155	10.7036	8.665610000000001	10.9507	6.81549	5.02312	18.9311	6.4276	7.96439	8.992989999999999	22.3255	14.1734	7.35695	5.576219999999999	8.48757	6.89037	14.452	3.72474	8.77924	11.4911	19.2365	13.4555	9.56027	9.212489999999999	10.2407	9.123339999999999	8.0226	7.8799399999999995	16.2554	6.5926800000000005	8.17956	14.7314	9.067219999999999	17.5539	13.175999999999998	15.1235	12.5679	19.4091	8.374089999999999	16.6001	13.7858	17.3034	9.3417	9.77833	5.63439	9.02493	10.7499	6.6719100000000005	13.3856	27.423000000000002	10.6724	12.1278	4.7346	3.4	9.75323	6.15606	10.0598	1.60705	7.66438	2.5733900000000003	8.3775	37.7339	7.974889999999999	9.12827	9.69876	11.2703	12.9087	6.963189999999999	3.1333	25.5622	8.69684	7.93685	7.98035	9.41589	10.4247	3.27128	8.400830000000001	5.97516	5.29368	8.224219999999999	11.3986	6.797389999999999	11.5543	4.53927	4.266380000000001	11.6328	7.661230000000001	10.7172	11.8416	7.9329	9.987210000000001	8.082	8.71048	5.21853
ENSG00000006625|GGCT|protein_coding	393.749	749.5089999999999	284.235	121.93	151.838	148.187	215.58	161.159	161.722	230.21599999999998	136.734	80.0436	286.144	223.93200000000002	485.999	465.675	158.032	158.694	85.8075	309.214	402.784	328.93800000000005	169.842	125.1	308.43	78.8656	41.7473	262.26599999999996	126.736	47.5492	262.041	22.9157	88.4138	80.0493	68.3242	62.239	675.62	147.955	192.983	221.69299999999998	180.955	131.391	95.9375	312.876	44.8866	53.4892	174.425	157.882	115.926	78.9933	321.217	232.99900000000002	438.329	223.229	185.185	217.22099999999998	153.86700000000002	487.444	218.61	118.833	242.46	177.265	415.866	188.578	349.76599999999996	211.59799999999998	357.85900000000004	198.12	162.34799999999998	71.3689	155.187	271.055	397.14300000000003	159.128	447.97900000000004	104.20100000000001	142.488	108.749	282.268	281.885	184.25799999999998	325.987	236.37	155.10399999999998	170.218	249.1	275.85	307.873	98.2395	194.049	486.894	160.067	126.359	178.078	266.10200000000003	280.983	226.74200000000002	116.334	111.904	165.718	217.253	167.899	267.921	103.76	140.716	173.813	212.122	323.82099999999997	153.128	244.61	213.452	127.02	154.77700000000002	305.039	192.391	124.458	184.75799999999998	116.095	260.616	142.71200000000002	224.49400000000003	432.37	178.771	331.05	293.962	224.783	470.82300000000004	129.32	395.092	406.015	195.305	259.685	78.7524	97.4526	76.9454	81.2098	727.668	320.501	102.976	289.707	559.322	228.38	443.99300000000005	194.892	267.71299999999997	336.79699999999997	112.72200000000001	66.0662	242.423	242.615	310.769	76.4639	236.93599999999998	307.974	252.201	367.89300000000003	119.009	192.2	255.925	168.915	197.829	173.733	117.32	157.204	168.995	400.031	301.068	197.76	98.1151	75.15100000000001	143.235	148.243	188.455	314.017	136.10299999999998	191.638	76.6921	162.171	322.274	199.513	263.315	149.358	363.852	92.806	204.428	178.99599999999998	71.6956	59.0265
ENSG00000007168|PAFAH1B1|protein_coding	83.6858	35.2764	41.8689	12.7685	27.6315	63.2272	49.8364	55.2831	24.1665	72.2576	33.7377	59.2544	30.3924	27.7217	67.6052	75.1729	83.5147	77.6191	65.8934	49.0729	28.9064	35.6009	44.3197	41.8309	28.6589	75.6766	36.2778	84.7379	82.8047	17.3815	51.4955	20.3498	41.7929	84.5144	37.6763	60.1987	30.6785	36.9776	71.8277	42.8648	57.0296	32.1868	55.5492	46.0334	29.8903	15.4703	39.2122	44.9525	31.6215	28.0003	29.3768	34.8218	55.963	33.4932	95.6846	14.2436	57.2861	40.3411	106.08	47.0277	63.0815	15.9545	45.5507	55.7772	29.4556	39.2523	12.7374	35.6181	32.1373	39.8317	71.4073	38.2362	65.6833	52.3904	44.4416	39.7685	59.9978	22.948	62.9576	56.548	103.898	115.37700000000001	65.828	63.3594	29.3607	41.5935	16.61	40.6164	28.2092	34.0421	35.829	58.1109	55.7748	69.1438	55.7764	63.8454	54.6587	39.4146	26.9111	31.0726	64.2851	39.688	31.9916	65.3702	64.6724	62.9746	37.258	27.2709	20.5874	32.5683	79.8594	23.8394	81.7471	50.3996	60.333	52.596000000000004	46.2556	39.0558	47.9365	41.1777	35.4008	24.4312	44.4734	28.5097	49.4232	55.032	66.3853	73.0242	42.9659	74.9927	84.3025	75.5189	70.4373	88.727	47.4397	68.947	35.2412	25.0802	38.6554	33.3389	57.5802	30.9042	51.3892	69.906	24.014	33.4408	42.8898	13.1758	48.0179	58.6741	46.0473	11.8863	36.1529	38.7595	45.3109	56.9519	26.1034	36.8816	29.5529	55.973	98.8442	44.7478	13.633	71.3448	43.8002	38.8802	34.6339	69.1686	46.783	12.556	61.103	14.3358	25.7628	49.0363	51.5986	41.4411	58.6369	17.3001	25.5514	31.6885	41.1579	44.1057	71.5138	25.9449	40.3412	79.7774	67.1191	19.4438
ENSG00000007255|TRAPPC6A|protein_coding	63.4074	84.1328	54.1232	76.7841	40.8541	28.0956	95.0353	57.3005	49.4167	16.6337	53.1496	84.0661	105.101	111.75200000000001	79.3332	26.2269	28.7104	9.89213	32.3509	120.309	51.0343	107.073	72.6259	112.055	77.7752	63.9458	35.6794	33.5256	76.509	2.58819	18.0279	6.803610000000001	50.5545	32.1049	168.282	112.50399999999999	130.472	24.7995	35.2765	22.9963	43.4845	30.6699	51.093999999999994	33.316	2.0582	71.6983	61.2685	113.943	51.9297	25.1445	39.2196	43.5348	132.15	60.268	12.1067	111.824	84.177	17.9716	41.3426	61.1306	30.4417	30.9882	47.8951	59.2667	37.9054	120.11200000000001	74.9736	57.1437	87.3507	57.2094	56.2947	21.6753	32.3499	35.8662	48.4468	32.308	28.4013	46.9359	27.8771	41.6143	54.751999999999995	24.37	16.7907	71.7795	36.4645	58.0608	40.6566	92.7031	45.298	48.9623	42.6904	61.73	54.1726	62.5445	30.3009	58.6778	53.5549	64.97800000000001	100.54899999999999	88.6366	19.1962	30.3205	64.2877	53.0524	54.4858	45.1611	27.7644	77.0347	35.387	40.8955	45.0433	27.7444	61.8716	132.517	53.2343	31.378	62.0421	68.4386	44.3057	41.0283	39.8955	71.8836	55.9215	21.2373	17.6318	47.8876	59.1836	79.8091	73.297	36.7487	36.6835	18.8336	41.9745	19.9737	58.57	42.4071	11.2853	90.2219	24.5702	21.7464	40.3791	13.5328	38.0429	38.2461	50.0256	50.1354	51.4664	43.291000000000004	45.943999999999996	123.939	16.1221	13.9957	62.7006	261.177	25.695	34.6286	88.8242	45.5614	23.7583	14.7893	30.0944	33.1988	51.788000000000004	23.7461	50.4068	119.855	50.7314	38.2459	25.566	44.7484	79.6223	22.8118	98.037	62.6501	129.213	105.24700000000001	77.3521	123.538	59.2758	128.387	340.102	94.5226	92.6951	77.9851	42.2111	32.0942	34.7437	22.581
ENSG00000007944|MYLIP|protein_coding	38.9186	32.67	12.1898	8.37573	19.7718	32.5836	9.93097	19.5102	28.815	18.6527	28.0985	24.1166	9.05185	34.6883	23.0293	8.746089999999999	6.7703	9.21746	32.4124	17.4597	20.3434	4.3564099999999994	19.0276	14.8564	44.4942	28.0178	17.0554	16.2693	28.2701	14.2494	31.2181	16.2867	10.302999999999999	44.4489	6.5263	11.2395	20.4805	14.7189	18.3878	24.8714	28.9446	38.4636	54.7278	46.8246	62.71	6.657789999999999	34.7929	23.2365	11.8105	11.5924	17.5427	17.7222	19.1261	36.8535	17.69	49.7869	28.1515	17.5626	27.0574	32.1124	14.3752	18.0132	29.9518	46.4033	11.4811	15.4621	5.98041	21.3245	3.01873	77.2238	23.2254	14.5937	24.3148	28.3184	40.7731	21.3897	40.1668	8.13542	31.0584	54.873999999999995	52.0076	23.8219	8.44104	80.0223	9.54265	8.61716	37.5372	14.4323	30.2053	11.0818	6.04068	30.6792	38.2085	22.6382	48.3851	38.1644	28.5384	12.5713	10.5665	11.9995	30.7629	20.998	15.0813	20.7745	29.6937	49.8063	30.9558	29.6173	6.95229	17.6546	40.7691	9.70227	32.1502	16.7762	14.2166	32.1409	14.8931	44.9281	11.1824	33.5391	32.9989	17.5583	26.9547	12.605	26.131999999999998	20.2779	22.7801	23.612	21.5492	46.4755	22.8344	6.69285	57.8532	30.5999	34.547	22.615	10.8101	10.8237	27.4288	13.1965	19.6201	8.69005	34.07	26.1466	28.294	55.6455	30.8942	4.10626	13.067	2.7130900000000002	17.6308	9.935839999999999	24.2783	8.39033	60.8837	37.7363	12.342	42.1476	21.3649	27.6562	15.8278	31.1323	5.25917	24.541999999999998	9.45011	17.081	22.2215	40.6404	30.4915	12.5105	12.4755	9.52122	17.4567	24.5862	11.7908	4.309830000000001	23.0374	6.75806	17.3494	10.8553	8.69263	26.9586	49.6571	17.6469	22.4469	40.7083	11.8101	9.9304
ENSG00000008283|CYB561|protein_coding	52.0899	86.8129	56.7986	29.5878	58.4384	49.3162	85.4979	98.5831	61.3531	99.4001	48.3471	44.4756	117.31	59.4332	67.8797	56.5607	132.65200000000002	56.0015	33.7459	114.93	86.0527	99.4443	53.2663	71.0927	59.8256	45.9844	68.3423	54.647	110.06200000000001	11.3637	74.6395	10.1911	54.6365	45.9866	202.47799999999998	56.9752	35.5425	69.9268	123.102	161.624	54.373999999999995	42.0822	142.559	111.14	1.2779	14.8165	94.7887	60.153	8.822610000000001	54.0231	211.16400000000002	126.825	45.1254	68.6905	64.1227	53.7748	95.1998	221.398	99.9089	90.7012	104.20100000000001	27.4668	44.4619	74.3081	50.24	52.2571	80.6765	50.6543	37.4578	66.6651	52.8403	114.66799999999999	71.2253	135.173	62.4573	57.3372	49.1128	30.6133	28.8259	107.255	80.0097	91.0428	79.1176	62.4957	39.3331	112.053	42.0857	83.9055	41.2289	32.8309	62.9137	42.5969	44.6688	68.4304	90.8047	63.9066	115.70299999999999	96.7701	77.9181	70.9767	52.1612	68.2802	125.11399999999999	158.872	39.5875	180.493	53.2531	21.1056	39.6726	49.2743	121.876	107.41	105.96	64.2488	65.6577	29.8985	59.1358	61.6546	143.062	104.58200000000001	36.1674	79.5627	81.6726	43.8658	59.0714	107.12899999999999	60.8983	124.79299999999999	126.181	67.1132	51.1455	58.6928	191.21599999999998	89.4192	145.382	76.4158	68.9696	39.1555	48.6543	82.0722	67.663	49.4671	69.7026	75.1637	85.5096	44.2523	69.4735	40.3145	55.4017	123.069	66.5707	34.5021	48.911	85.3149	111.102	64.2779	51.8506	73.9257	89.8141	54.7591	140.74200000000002	52.2606	56.1858	64.9198	57.1897	62.0692	75.4894	73.6429	30.1219	22.0373	110.316	63.3896	151.506	98.1807	109.055	37.5379	107.325	41.8369	58.4483	68.281	70.2202	72.9128	85.11	38.7474	85.4539	65.7598	84.5954	28.3853
