;TotalScore_MES;TotalDispersion_MES;TotalScore_EPI;TotalDispersion_EPI
TCGA.3C.AAAU.01;0.0906930132043253;3644.2308;0.272212763251782;3952.6116
TCGA.3C.AALI.01;0.16648750528841;4736.907;0.320982429864285;2835.4725
TCGA.3C.AALJ.01;0.193347062690954;4699.842;0.253193285622443;4174.2603
TCGA.3C.AALK.01;0.229675071869642;5291.3994;0.304265014447498;3234.2919
TCGA.4H.AAAK.01;0.240330998815162;5467.8288;0.268284739344529;4222.4448
TCGA.5L.AAT0.01;0.232289978330702;5458.9332;0.256076073671643;4132.7475
TCGA.5L.AAT1.01;0.234036472158644;4659.8118;0.272543395479947;4308.4356
TCGA.5T.A9QA.01;0.0140769863620542;3276.546;0.331109808049623;2647.1823
TCGA.A1.A0SB.01;0.190322560797674;6425.5884;0.212864984775375;5977.1019
TCGA.A1.A0SD.01;0.23903775544047;4824.3804;0.296707100821635;3454.458
TCGA.A1.A0SE.01;0.218273200739264;5281.0212;0.281349657710866;3972.6267
TCGA.A1.A0SF.01;0.215163439710951;5071.9746;0.291540972256565;3447.7863
TCGA.A1.A0SG.01;0.209138167848575;5138.6916;0.284757712985793;3795.456
TCGA.A1.A0SH.01;0.290988402413742;4468.5564;0.272332158223064;3733.1868
TCGA.A1.A0SI.01;0.263233770586712;4962.2622;0.290782920160795;3902.9445
TCGA.A1.A0SJ.01;0.231889758473469;4814.0022;0.282128197701117;4240.236
TCGA.A1.A0SK.01;0.104662619934113;5113.4874;0.196088225112507;5384.0619
TCGA.A1.A0SM.01;0.2270428791922;4745.8026;0.318948123238218;3040.8126
TCGA.A1.A0SN.01;0.21808129443876;4707.255;0.317386804382997;2861.418
TCGA.A1.A0SO.01;0.0928622868668117;3214.2768;0.19263919404862;6189.855
TCGA.A1.A0SP.01;0.204361312392987;4962.2622;0.22131659448805;5510.0829
TCGA.A1.A0SQ.01;0.153772760673213;3810.282;0.306506672695289;3066.7581
TCGA.A2.A04N.01;0.222129491925872;5555.3022;0.287165393826785;3536.001
TCGA.A2.A04P.01;0.204817199726702;4471.5216;0.225440666351106;5029.7205
TCGA.A2.A04Q.01;0.248192125454569;4762.1112;0.204284089383738;5634.6213
TCGA.A2.A04R.01;0.163924457476494;4773.972;0.282849159643087;3794.7147
TCGA.A2.A04T.01;0.170299848467269;4937.058;0.189803033621341;6312.1695
TCGA.A2.A04U.01;0.157179903220627;4720.5984;0.177517008484814;5958.5694
TCGA.A2.A04V.01;0.213179040667729;5463.381;0.24923488311303;4515.9996
TCGA.A2.A04W.01;0.210233645188396;5654.6364;0.322456145308625;3021.5388
TCGA.A2.A04X.01;0.16597302061103;4609.4034;0.293688315541834;3562.6878
TCGA.A2.A04Y.01;0.179495529608652;4320.2964;0.274481620945693;4449.2826
TCGA.A2.A0CK.01;0.202909270216962;5008.2228;0.260176831723738;4283.2314
TCGA.A2.A0CL.01;0.279065014924743;3829.5558;0.203194698580683;5254.3344
TCGA.A2.A0CM.01;0.216844597500706;4947.4362;0.192960642048224;6527.8878
TCGA.A2.A0CO.01;0.271299987928947;4579.7514;0.277104777918289;4148.3148
TCGA.A2.A0CP.01;0.253011463984315;5135.7264;0.253150190396123;3992.6418
TCGA.A2.A0CQ.01;0.127177477290599;4846.6194;0.287790627847994;3386.2584
TCGA.A2.A0CR.01;0.236444237009848;5132.7612;0.237547952270271;4911.8538
TCGA.A2.A0CS.01;0.188378007948144;5613.1236;0.289829526588342;3547.1205
TCGA.A2.A0CT.01;0.158137383816117;4317.3312;0.278805273160152;4150.5387
TCGA.A2.A0CU.01;0.183160793454911;4719.1158;0.290295096328428;3561.9465
TCGA.A2.A0CV.01;0.238921439713295;5175.7566;0.292071891315252;3249.1179
TCGA.A2.A0CW.01;0.105820503444938;3664.9872;0.315661582371933;3120.873
TCGA.A2.A0CX.01;0.225345900119656;4349.9484;0.281569019477629;3825.108
TCGA.A2.A0CY.01;0.0865648303431109;5064.5616;0.317815990448402;2650.1475
TCGA.A2.A0CZ.01;0.289843703305242;4271.3706;0.234974602075636;5297.3298
TCGA.A2.A0D0.01;0.137510532872524;4593.0948;0.196584526694314;5364.7881
TCGA.A2.A0D1.01;0.124785533722185;4508.5866;0.24561559058122;5121.6417
TCGA.A2.A0D2.01;0.206149703321649;4593.0948;0.195517743223099;6239.5221
TCGA.A2.A0D3.01;0.131592494149055;3951.129;0.30959433968929;2492.9919
TCGA.A2.A0D4.01;0.126191283996714;3957.0594;0.311993896020403;3516.7272
TCGA.A2.A0EM.01;0.205031373017798;5326.9818;0.268510812662932;4187.6037
TCGA.A2.A0EN.01;0.282278493251344;3983.7462;0.250891223409892;5003.775
TCGA.A2.A0EO.01;0.273404218539965;4471.5216;0.27356531752704;4492.278
TCGA.A2.A0EP.01;0.314122047719333;3100.1166;0.201565204490381;5499.7047
TCGA.A2.A0EQ.01;0.193702162593565;4725.0462;0.231283248673585;4794.7284
TCGA.A2.A0ER.01;0.140076803538342;3761.3562;0.303506962351728;3553.0509
TCGA.A2.A0ES.01;0.271212091913449;4541.2038;0.279732880244724;4404.0633
TCGA.A2.A0ET.01;0.0844412626086835;3306.198;0.24483775707009;4379.6004
TCGA.A2.A0EU.01;0.165255789124567;4435.9392;0.296984393876239;3615.3201
TCGA.A2.A0EV.01;0.223149964665802;4668.7074;0.290697789426834;3673.8828
TCGA.A2.A0EW.01;0.292145992937848;3691.674;0.264581022557878;4514.517
TCGA.A2.A0EX.01;0.259076289053665;4384.0482;0.280943078977301;4005.9852
TCGA.A2.A0EY.01;0.188942007380921;4594.5774;0.301086211647015;3518.9511
TCGA.A2.A0ST.01;0.234917190233932;4864.4106;0.205586130401916;6135.7401
TCGA.A2.A0SU.01;0.213016433039057;4570.8558;0.290887832310116;3705.0174
TCGA.A2.A0SV.01;0.210590795998036;5352.186;0.279748776024925;3663.5046
TCGA.A2.A0SW.01;0.21090868658742;4888.1322;0.306707666004931;3471.5079
TCGA.A2.A0SX.01;0.26248313861436;4619.7816;0.212451341250609;6194.3028
TCGA.A2.A0SY.01;0.263483688257444;4229.8578;0.2558450549994;4027.4829
TCGA.A2.A0T0.01;0.190418953428003;4704.2898;0.237286554995867;5223.9411
TCGA.A2.A0T1.01;0.256661492521221;4333.6398;0.276514867853081;4162.3995
TCGA.A2.A0T2.01;0.163726398454905;4787.3154;0.239413763626216;4301.7639
TCGA.A2.A0T3.01;0.157139764040216;4458.1782;0.310171179890778;3286.1829
TCGA.A2.A0T4.01;0.263291195983504;4474.4868;0.277311423060891;4036.3785
TCGA.A2.A0T5.01;0.191619027026267;5211.339;0.297570418306287;3147.5598
TCGA.A2.A0T6.01;0.302302963502059;4020.8112;0.243688315541834;4559.7363
TCGA.A2.A0T7.01;0.23381497419959;5315.121;0.28672773001194;4110.5085
TCGA.A2.A0YC.01;0.191724209258146;4447.8;0.278206178866384;3974.8506
TCGA.A2.A0YD.01;0.27980070457446;4573.821;0.276714801444043;4407.7698
TCGA.A2.A0YE.01;0.190683520434652;5670.945;0.211653019844999;5901.4893
TCGA.A2.A0YF.01;0.162124933052535;3918.5118;0.331192819346224;2822.1291
TCGA.A2.A0YG.01;0.145021247396813;3590.8572;0.314889400693763;3163.1271
TCGA.A2.A0YH.01;0.234015377114925;4812.5196;0.273299681377917;4311.4008
TCGA.A2.A0YI.01;0.243259401064831;4137.9366;0.289056638431051;3636.0765
TCGA.A2.A0YJ.01;0.12404955108575;4351.431;0.247217178746282;5209.1151
TCGA.A2.A0YK.01;0.297724167068058;3899.238;0.263541791772344;4665.7422
TCGA.A2.A0YL.01;0.255717196328056;4634.6076;0.277143987509449;3903.6858
TCGA.A2.A0YM.01;0.187714686017853;5178.7218;0.228136237433503;5085.318
TCGA.A2.A0YT.01;0.167521748404101;3829.5558;0.309487661342169;2944.4436
TCGA.A2.A1FV.01;0.19829062758927;4765.0764;0.220336001469477;5364.7881
TCGA.A2.A1FW.01;0.182564858469836;3753.9432;0.2632295280013;4432.2327
TCGA.A2.A1FX.01;0.192418880767297;4507.104;0.248606823175341;4111.2498
TCGA.A2.A1FZ.01;0.250868266139759;4517.4822;0.291248489900881;3362.5368
TCGA.A2.A1G0.01;0.241046472381314;4475.9694;0.277168361039089;3957.8007
TCGA.A2.A1G1.01;0.248109503200001;4237.2708;0.204052364232375;6139.4466
TCGA.A2.A1G4.01;0.116662476956595;3553.7922;0.275520145252107;4140.9018
