Generation	CellName	Probability_BASALB	Probability_BASALA
0	Hs_578T	0.976	0.02400000000000002
0	HCC1187	0.08	0.92
0	MDAMB157	0.969	0.031000000000000028
0	MDAMB436	0.978	0.02200000000000002
0	BT549	0.991	0.009000000000000008
0	BT20	0.036	0.964
0	BT549.1	0.977	0.02300000000000002
0	CAL120	0.964	0.03600000000000003
0	CAL51	0.967	0.03300000000000003
0	CAL851	0.053	0.947
0	DU4475	0.915	0.08499999999999996
0	HBL100	0.984	0.016000000000000014
0	HCC1143	0.081	0.919
0	HCC1187.1	0.081	0.919
0	HCC1395	0.987	0.013000000000000012
0	HCC1569	0.062	0.938
0	HCC1599	0.06	0.94
0	HCC1806	0.096	0.904
0	HCC1937	0.027	0.973
0	HCC1954	0.02	0.98
0	HCC3153	0.085	0.915
0	HCC38	0.782	0.21799999999999997
0	HCC70	0.016	0.984
0	HDQP1	0.042	0.958
0	HS578T	0.99	0.010000000000000009
0	JIMT1	0.057	0.943
0	MACLS2	0.059	0.9410000000000001
0	MB157	0.871	0.129
0	MDAMB157.1	0.979	0.02100000000000002
0	MDAMB231	0.981	0.019000000000000017
0	MDAMB436.1	0.988	0.01200000000000001
0	MDAMB468	0.041	0.959
0	MX1	0.117	0.883
0	SKBR7	0.945	0.05500000000000005
0	SUM102	0.692	0.30800000000000005
0	SUM1315	0.986	0.014000000000000012
0	SUM149	0.082	0.918
0	SUM159	0.988	0.01200000000000001
0	SUM229	0.147	0.853
0	SW527	0.941	0.05900000000000005
0	UACC3199	0.752	0.248
0	CAL120.1	0.978	0.02200000000000002
0	HCC38.1	0.742	0.258
0	HCC1599.1	0.058	0.942
0	HCC1395.1	0.971	0.029000000000000026
0	MDAMB468.1	0.06	0.94
0	MDAMB231.1	0.963	0.03700000000000003
0	HCC1954.1	0.028	0.972
0	JIMT1.1	0.039	0.961
0	HDQP1.1	0.056	0.944
0	HMC18	0.941	0.05900000000000005
0	BT20.1	0.051	0.949
0	HCC1806.1	0.096	0.904
0	HCC2157	0.063	0.937
0	HCC1500	0.114	0.886
0	HCC1143.1	0.07	0.9299999999999999
0	CAL51.1	0.951	0.049000000000000044
0	CAL851.1	0.071	0.929
0	HCC1569.1	0.145	0.855
0	HCC70.1	0.014	0.986
0	DU4475.1	0.866	0.134
0	HCC1937.1	0.015	0.985
1	Hs_578T	0.9774079055549196	0.02259209444508037
1	HCC1187	0.0903715427887015	0.9096284572112985
1	MDAMB157	0.9920293403715952	0.00797065962840482
1	MDAMB436	0.9780382105354041	0.021961789464595927
1	BT549	0.990891994478951	0.009108005521048956
1	BT20	0.04844520353860194	0.9515547964613981
1	BT549.1	0.9905195026400955	0.009480497359904527
1	CAL120	0.9670379499171847	0.032962050082815275
1	CAL51	0.9533699599228607	0.046630040077139334
1	CAL851	0.06840439533171008	0.93159560466829
1	DU4475	0.8858222691371579	0.11417773086284211
1	HBL100	0.9840751664956562	0.015924833504343816
1	HCC1143	0.07534766300885921	0.9246523369911408
1	HCC1187.1	0.10590903174914616	0.8940909682508539
1	HCC1395	0.9842762375274516	0.015723762472548364
1	HCC1569	0.08505588577789189	0.9149441142221081
1	HCC1599	0.06497913012373581	0.9350208698762642
1	HCC1806	0.14125596742393653	0.8587440325760635
1	HCC1937	0.0328808102925583	0.9671191897074417
1	HCC1954	0.025495609023409537	0.9745043909765905
1	HCC3153	0.07459475207232344	0.9254052479276765
1	HCC38	0.7615715297475185	0.23842847025248148
1	HCC70	0.015758339390345617	0.9842416606096543
1	HDQP1	0.050565215477110695	0.9494347845228893
1	HS578T	0.9893160818713452	0.010683918128654768
1	JIMT1	0.037250022466384744	0.9627499775336152
1	MACLS2	0.07422279916503165	0.9257772008349684
1	MB157	0.8800949528610542	0.11990504713894579
1	MDAMB157.1	0.9827997143469772	0.017200285653022784
1	MDAMB231	0.9841390284166373	0.01586097158336275
1	MDAMB436.1	0.9826678737925051	0.017332126207494913
1	MDAMB468	0.03978504434025312	0.9602149556597469
1	MX1	0.1161613726805504	0.8838386273194496
1	SKBR7	0.9512412628802608	0.048758737119739215
1	SUM102	0.6947443405246524	0.3052556594753476
1	SUM1315	0.9907967720707999	0.009203227929200142
1	SUM149	0.09804778935159103	0.901952210648409
1	SUM159	0.9895176305793516	0.010482369420648396
1	SUM229	0.17516231127616322	0.8248376887238368
1	SW527	0.9382679138944366	0.061732086105563355
1	UACC3199	0.7129666154692949	0.28703338453070515
1	CAL120.1	0.9814168143535752	0.018583185646424805
1	HCC38.1	0.6991018540251845	0.30089814597481546
1	HCC1599.1	0.05332188274578391	0.9466781172542161
1	HCC1395.1	0.9816558432110878	0.018344156788912214
1	MDAMB468.1	0.0324969244656279	0.9675030755343721
1	MDAMB231.1	0.9754090120427333	0.024590987957266663
1	HCC1954.1	0.021359080137396614	0.9786409198626034
1	JIMT1.1	0.04387180684332013	0.9561281931566799
1	HDQP1.1	0.09595909963075354	0.9040409003692464
1	HMC18	0.952661435577577	0.04733856442242301
1	BT20.1	0.049907596330420606	0.9500924036695794
1	HCC1806.1	0.11842211420112979	0.8815778857988702
1	HCC2157	0.07764409281770183	0.9223559071822982
1	HCC1500	0.11996058038161093	0.880039419618389
1	HCC1143.1	0.07240676530593794	0.9275932346940621
1	CAL51.1	0.9423241660935691	0.05767583390643094
1	CAL851.1	0.06000719320142057	0.9399928067985794
1	HCC1569.1	0.15599452471153735	0.8440054752884627
1	HCC70.1	0.007464843210388176	0.9925351567896118
1	DU4475.1	0.8427224168853807	0.15727758311461926
1	HCC1937.1	0.014105032500394995	0.985894967499605
