Generation	CellName	Probability_BASALB	Probability_BASALA
0	HCC1937	0.05	0.95
0	BT20	0.034	0.966
0	HCC1187	0.143	0.857
0	DU4475	0.884	0.11599999999999999
0	CAL120	0.99	0.010000000000000009
0	BT20	0.099	0.901
0	MDAMB468	0.06	0.94
0	CAL851	0.071	0.929
0	HCC1500	0.097	0.903
0	HCC1937	0.034	0.966
0	HCC1954	0.027	0.973
0	HCC38	0.733	0.267
0	MDAMB157	0.994	0.006000000000000005
0	HCC1806	0.077	0.923
0	HDQP1	0.058	0.942
0	BT549	0.992	0.008000000000000007
0	MDAMB436	0.984	0.016000000000000014
0	CAL51	0.973	0.027000000000000024
0	HCC3153	0.068	0.9319999999999999
0	SW527	0.967	0.03300000000000003
0	HCC1143	0.091	0.909
0	HCC1395	0.99	0.010000000000000009
0	SUM159	0.985	0.015000000000000013
0	HCC2157	0.036	0.964
0	UACC3199	0.728	0.272
0	HCC1187	0.11	0.89
0	HBL100	0.987	0.013000000000000012
0	HCC1599	0.099	0.901
0	MDAMB436	0.986	0.014000000000000012
0	HCC1954	0.022	0.978
0	HCC70	0.039	0.961
0	BT549	0.996	0.0040000000000000036
0	SUM149	0.058	0.942
0	CAL851	0.051	0.949
0	HCC38	0.66	0.33999999999999997
0	HS578T	0.99	0.010000000000000009
0	HCC1599	0.053	0.947
0	HCC70	0.028	0.972
0	MDAMB231	0.994	0.006000000000000005
0	HCC1806	0.036	0.964
0	MB157	0.884	0.11599999999999999
0	MDAMB231	0.975	0.025000000000000022
0	SKBR7	0.945	0.05500000000000005
0	Hs_578T	0.965	0.03500000000000003
0	SUM1315	0.987	0.013000000000000012
0	HMC18	0.99	0.010000000000000009
0	DU4475	0.828	0.17200000000000004
0	CAL120	0.979	0.02100000000000002
0	HCC1395	0.986	0.014000000000000012
0	MX1	0.04	0.96
0	JIMT1	0.07	0.9299999999999999
0	HCC1569	0.06	0.94
0	HCC1569	0.145	0.855
0	HDQP1	0.1	0.9
0	JIMT1	0.025	0.975
0	SUM102	0.741	0.259
0	MACLS2	0.027	0.973
0	MDAMB157	0.993	0.007000000000000006
0	HCC1143	0.086	0.914
0	MDAMB468	0.112	0.888
0	CAL51	0.979	0.02100000000000002
0	SUM229	0.086	0.914
1	HCC1937	0.048835332798745974	0.951164667201254
1	BT20	0.03136969937570909	0.9686303006242909
1	HCC1187	0.13265580404362148	0.8673441959563786
1	DU4475	0.8822727751577328	0.11772722484226716
1	CAL120	0.9713902833278879	0.028609716672112095
1	BT20	0.11726781270403638	0.8827321872959636
1	MDAMB468	0.053093403721364785	0.9469065962786352
1	CAL851	0.11244131465577989	0.8875586853442201
1	HCC1500	0.12487063712920382	0.8751293628707961
1	HCC1937	0.03958127042928884	0.9604187295707112
1	HCC1954	0.03191672348974375	0.9680832765102563
1	HCC38	0.6551751050222697	0.3448248949777303
1	MDAMB157	0.9921823249871273	0.007817675012872671
1	HCC1806	0.09872995283215087	0.9012700471678491
1	HDQP1	0.09619016043815037	0.9038098395618497
1	BT549	0.9924032122601204	0.007596787739879596
1	MDAMB436	0.9915842033137731	0.00841579668622694
1	CAL51	0.9856871460605332	0.014312853939466796
1	HCC3153	0.09144595603873036	0.9085540439612696
1	SW527	0.9669269018792339	0.03307309812076609
1	HCC1143	0.13107590013610157	0.8689240998638984
1	HCC1395	0.9873958656557213	0.01260413434427865
1	SUM159	0.9937714608538816	0.006228539146118428
1	HCC2157	0.05671287053895509	0.9432871294610449
1	UACC3199	0.6372653839833274	0.36273461601667256
1	HCC1187	0.09175768448918262	0.9082423155108174
1	HBL100	0.9933301280319324	0.0066698719680675644
1	HCC1599	0.12000595978327665	0.8799940402167233
1	MDAMB436	0.9902574090280035	0.009742590971996479
1	HCC1954	0.024123686073114926	0.9758763139268851
1	HCC70	0.039146946836015675	0.9608530531639843
1	BT549	0.9943613445378151	0.005638655462184894
1	SUM149	0.069298446933443	0.930701553066557
1	CAL851	0.051122089189556484	0.9488779108104435
1	HCC38	0.5177293039086296	0.4822706960913704
1	HS578T	0.9882174308322592	0.011782569167740786
1	HCC1599	0.049947204798934115	0.9500527952010659
1	HCC70	0.014208527545504949	0.985791472454495
1	MDAMB231	0.9923806453107266	0.007619354689273439
1	HCC1806	0.05807159862897181	0.9419284013710282
1	MB157	0.889497930002721	0.11050206999727896
1	MDAMB231	0.9759569599911341	0.024043040008865924
1	SKBR7	0.9287865640594978	0.07121343594050222
1	Hs_578T	0.9632598242939938	0.036740175706006184
1	SUM1315	0.9794044039071501	0.020595596092849888
1	HMC18	0.9824011677680001	0.017598832231999872
1	DU4475	0.7882510656180377	0.2117489343819623
1	CAL120	0.9674599896785688	0.03254001032143117
1	HCC1395	0.9900889185924563	0.00991108140754371
1	MX1	0.04941859237298265	0.9505814076270174
1	JIMT1	0.080403651439579	0.919596348560421
1	HCC1569	0.07349004485762559	0.9265099551423744
1	HCC1569	0.14613887579051402	0.853861124209486
1	HDQP1	0.1726696272881332	0.8273303727118668
1	JIMT1	0.04032069985566663	0.9596793001443333
1	SUM102	0.6354701117187358	0.3645298882812642
1	MACLS2	0.0341616339699641	0.9658383660300359
1	MDAMB157	0.9895686441172391	0.010431355882760895
1	HCC1143	0.10985719499709194	0.8901428050029081
1	MDAMB468	0.12020167755749686	0.8797983224425031
1	CAL51	0.9909627908432831	0.009037209156716908
1	SUM229	0.11371722301495521	0.8862827769850448
2	HCC1937	0.054281737585129775	0.9457182624148702
2	BT20	0.030668735601666195	0.9693312643983338
2	HCC1187	0.17271568806348875	0.8272843119365112
2	DU4475	0.872710557372035	0.12728944262796504
2	CAL120	0.9550642056474548	0.044935794352545244
2	BT20	0.12713350614075752	0.8728664938592425
2	MDAMB468	0.07527086709637908	0.9247291329036209
2	CAL851	0.12415840203275658	0.8758415979672434
2	HCC1500	0.13655728786862326	0.8634427121313768
2	HCC1937	0.04418846749451933	0.9558115325054807
2	HCC1954	0.03154052623700977	0.9684594737629902
2	HCC38	0.6476706037780248	0.35232939622197523
2	MDAMB157	0.9894642572260899	0.010535742773910117
2	HCC1806	0.12244749068647277	0.8775525093135272
2	HDQP1	0.10232655761057577	0.8976734423894243
2	BT549	0.9897217572551643	0.010278242744835686
2	MDAMB436	0.9830804140849243	0.016919585915075697
2	CAL51	0.9830266623751108	0.016973337624889173
2	HCC3153	0.07747199239985016	0.9225280076001499
2	SW527	0.9737461481640673	0.02625385183593265
2	HCC1143	0.12156265877396226	0.8784373412260378
2	HCC1395	0.9784475545782155	0.021552445421784472
2	SUM159	0.9938273180411348	0.006172681958865223
2	HCC2157	0.07663661977927919	0.9233633802207208
2	UACC3199	0.6197491776561871	0.3802508223438129
2	HCC1187	0.10752440057003414	0.8924755994299659
2	HBL100	0.9905299393843318	0.009470060615668241
2	HCC1599	0.16001721704535599	0.839982782954644
2	MDAMB436	0.9887256706485685	0.011274329351431467
2	HCC1954	0.032882314412406244	0.9671176855875938
2	HCC70	0.04156290830765209	0.9584370916923479
2	BT549	0.9936593870865188	0.006340612913481203
2	SUM149	0.06377943013858688	0.9362205698614131
2	CAL851	0.0665069111769162	0.9334930888230838
2	HCC38	0.47130683512287197	0.528693164877128
2	HS578T	0.9865144051064427	0.013485594893557273
2	HCC1599	0.06377764791686619	0.9362223520831339
2	HCC70	0.02101703152821401	0.978982968471786
2	MDAMB231	0.9871389341964217	0.012861065803578264
2	HCC1806	0.06079403920541242	0.9392059607945876
2	MB157	0.8661278558628751	0.1338721441371249
2	MDAMB231	0.9751633346041805	0.024836665395819524
2	SKBR7	0.9298879721154383	0.07011202788456172
2	Hs_578T	0.9681494729168808	0.031850527083119196
2	SUM1315	0.9822074948724658	0.017792505127534164
2	HMC18	0.9890896463584109	0.010910353641589099
2	DU4475	0.7866322572290785	0.21336774277092152
2	CAL120	0.9620613632696535	0.037938636730346476
2	HCC1395	0.983376065845068	0.01662393415493202
2	MX1	0.06001812750758707	0.9399818724924129
2	JIMT1	0.08791274152918857	0.9120872584708114
2	HCC1569	0.10395284667515681	0.8960471533248432
2	HCC1569	0.1791313622687118	0.8208686377312882
2	HDQP1	0.19262606820957842	0.8073739317904216
2	JIMT1	0.048860928449171864	0.9511390715508281
2	SUM102	0.6217771828146897	0.37822281718531026
2	MACLS2	0.034461859764314845	0.9655381402356852
2	MDAMB157	0.9924110919576709	0.0075889080423291455
2	HCC1143	0.11282902123118073	0.8871709787688192
2	MDAMB468	0.12225425485324025	0.8777457451467597
2	CAL51	0.9899671170064598	0.010032882993540215
2	SUM229	0.11130427852219553	0.8886957214778045
3	HCC1937	0.04725947197729108	0.9527405280227089
3	BT20	0.03615471498475468	0.9638452850152454
3	HCC1187	0.16430214953230626	0.8356978504676937
3	DU4475	0.8432015632439309	0.15679843675606908
3	CAL120	0.9477770229756151	0.05222297702438494
3	BT20	0.13226031868510832	0.8677396813148917
3	MDAMB468	0.08484916610083434	0.9151508338991656
3	CAL851	0.12106195807549743	0.8789380419245025
3	HCC1500	0.12780602359863208	0.872193976401368
3	HCC1937	0.0430615324345007	0.9569384675654993
3	HCC1954	0.030242808325129777	0.9697571916748702
3	HCC38	0.6201721816474057	0.37982781835259427
3	MDAMB157	0.9837189994574429	0.0162810005425571
3	HCC1806	0.14663383174646732	0.8533661682535327
3	HDQP1	0.11550965013667527	0.8844903498633248
3	BT549	0.9897378309748197	0.01026216902518029
3	MDAMB436	0.9835699192100265	0.016430080789973545
3	CAL51	0.9852532679705003	0.01474673202949972
3	HCC3153	0.07710865942982549	0.9228913405701745
3	SW527	0.9627098932283276	0.03729010677167244
3	HCC1143	0.11571551980893624	0.8842844801910638
3	HCC1395	0.970324324422805	0.02967567557719497
3	SUM159	0.9942698550889513	0.005730144911048729
3	HCC2157	0.08661528248206002	0.9133847175179399
3	UACC3199	0.5789496723836548	0.4210503276163452
3	HCC1187	0.11673409427727337	0.8832659057227267
3	HBL100	0.9931514322625657	0.006848567737434252
3	HCC1599	0.13133397339942582	0.8686660266005741
3	MDAMB436	0.9836364328884208	0.016363567111579158
3	HCC1954	0.04399910709124531	0.9560008929087547
3	HCC70	0.03547147195589757	0.9645285280441024
3	BT549	0.9914962758086396	0.008503724191360362
3	SUM149	0.0800638479409885	0.9199361520590115
3	CAL851	0.05979456089963027	0.9402054391003697
3	HCC38	0.4574921674046764	0.5425078325953236
3	HS578T	0.9903961783941461	0.009603821605853935
3	HCC1599	0.04855273161624422	0.9514472683837558
3	HCC70	0.018506273628400145	0.9814937263715998
3	MDAMB231	0.9842142832831696	0.015785716716830378
3	HCC1806	0.07355307156545708	0.9264469284345429
3	MB157	0.8464938958144106	0.1535061041855894
3	MDAMB231	0.9659106886706744	0.03408931132932558
3	SKBR7	0.9138138036377259	0.08618619636227409
3	Hs_578T	0.9617751107953623	0.038224889204637735
3	SUM1315	0.9786181021572999	0.02138189784270006
3	HMC18	0.9862316336273204	0.013768366372679641
3	DU4475	0.7686141292090705	0.23138587079092954
3	CAL120	0.9711191816878472	0.028880818312152834
3	HCC1395	0.9766533692653285	0.02334663073467147
3	MX1	0.05936720834556081	0.9406327916544392
3	JIMT1	0.11453749284052	0.8854625071594799
3	HCC1569	0.11391869052640842	0.8860813094735915
3	HCC1569	0.19020162097460877	0.8097983790253912
3	HDQP1	0.21537785899647058	0.7846221410035294
3	JIMT1	0.06553595282306898	0.934464047176931
