Feature	rank_it_0	rank_it_1	rank_it_2	rank_it_3	rank_it_4	rank_it_5	rank_it_6	rank_it_7	rank_it_8	rank_it_9
ENSG00000002746|HECW1|protein_coding	380	391	385	380	386	169	390	389	389	389
ENSG00000005001|PRSS22|protein_coding	32	61	15	25	20	57	24	24	37	17
ENSG00000006047|YBX2|protein_coding	50	49	385	163	68	82	136	43	172	194
ENSG00000006555|TTC22|protein_coding	2	2	2	2	1	1	1	2	1	2
ENSG00000006576|PHTF2|protein_coding	380	391	385	380	386	125	390	389	389	199
ENSG00000006625|GGCT|protein_coding	52	91	120	90	386	66	119	113	172	68
ENSG00000007168|PAFAH1B1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000007255|TRAPPC6A|protein_coding	90	391	385	163	386	387	390	164	389	389
ENSG00000007944|MYLIP|protein_coding	380	391	385	129	386	387	390	389	172	168
ENSG00000008283|CYB561|protein_coding	58	66	86	60	80	54	27	26	15	138
ENSG00000008323|PLEKHG6|protein_coding	2	5	8	2	6	2	17	28	5	11
ENSG00000010270|STARD3NL|protein_coding	155	203	385	90	386	72	390	122	389	123
ENSG00000011028|MRC2|protein_coding	110	203	385	163	76	199	40	389	144	94
ENSG00000011347|SYT7|protein_coding	155	100	39	99	110	54	85	70	104	87
ENSG00000012779|ALOX5|protein_coding	380	391	161	380	386	387	390	389	389	168
ENSG00000015479|MATR3|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000016402|IL20RA|protein_coding	155	77	104	72	143	125	97	104	104	68
ENSG00000026025|VIM|protein_coding	155	100	34	99	84	169	57	113	37	389
ENSG00000027075|PRKCH|protein_coding	380	391	385	163	177	387	165	389	389	199
ENSG00000035115|SH3YL1|protein_coding	380	167	385	380	386	387	165	389	389	389
ENSG00000039068|CDH1|protein_coding	2	2	2	2	2	1	2	1	2	2
ENSG00000047188|YTHDC2|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000049167|ERCC8|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000049192|ADAMTS6|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000049283|EPN3|protein_coding	19	63	8	44	13	2	21	9	17	4
ENSG00000052344|PRSS8|protein_coding	2	2	1	2	1	1	1	2	2	1
ENSG00000054179|ENTPD2|protein_coding	101	167	65	79	128	387	79	73	125	43
ENSG00000058272|PPP1R12A|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000059377|TBXAS1|protein_coding	380	391	385	380	386	169	390	389	389	389
ENSG00000059758|CDK17|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000062038|CDH3|protein_coding	5	18	30	5	10	13	5	21	3	17
