Generation	CellName	Probability_BASALB	Probability_BASALA
0	Hs_578T	0.981	0.019000000000000017
0	HCC1187	0.044	0.956
0	MDAMB157	0.973	0.027000000000000024
0	MDAMB436	0.958	0.04200000000000004
0	BT549	0.981	0.019000000000000017
0	BT20	0.045	0.955
0	BT549.1	0.98	0.020000000000000018
0	CAL120	0.963	0.03700000000000003
0	CAL51	0.957	0.04300000000000004
0	CAL851	0.05	0.95
0	DU4475	0.909	0.09099999999999997
0	HBL100	0.984	0.016000000000000014
0	HCC1143	0.071	0.929
0	HCC1187.1	0.074	0.926
0	HCC1395	0.965	0.03500000000000003
0	HCC1569	0.089	0.911
0	HCC1599	0.038	0.962
0	HCC1806	0.123	0.877
0	HCC1937	0.022	0.978
0	HCC1954	0.032	0.968
0	HCC3153	0.094	0.906
0	HCC38	0.799	0.20099999999999996
0	HCC70	0.026	0.974
0	HDQP1	0.045	0.955
0	HS578T	0.984	0.016000000000000014
0	JIMT1	0.06	0.94
0	MACLS2	0.068	0.9319999999999999
0	MB157	0.861	0.139
0	MDAMB157.1	0.976	0.02400000000000002
0	MDAMB231	0.981	0.019000000000000017
0	MDAMB436.1	0.971	0.029000000000000026
0	MDAMB468	0.036	0.964
0	MX1	0.137	0.863
0	SKBR7	0.946	0.05400000000000005
0	SUM102	0.721	0.279
0	SUM1315	0.984	0.016000000000000014
0	SUM149	0.118	0.882
0	SUM159	0.976	0.02400000000000002
0	SUM229	0.18	0.8200000000000001
0	SW527	0.917	0.08299999999999996
0	UACC3199	0.762	0.238
0	CAL120.1	0.966	0.03400000000000003
0	HCC38.1	0.778	0.22199999999999998
0	HCC1599.1	0.045	0.955
0	HCC1395.1	0.941	0.05900000000000005
0	MDAMB468.1	0.012	0.988
0	MDAMB231.1	0.96	0.040000000000000036
0	HCC1954.1	0.028	0.972
0	JIMT1.1	0.046	0.954
0	HDQP1.1	0.057	0.943
0	HMC18	0.93	0.06999999999999995
0	BT20.1	0.026	0.974
0	HCC1806.1	0.124	0.876
0	HCC2157	0.064	0.9359999999999999
0	HCC1500	0.132	0.868
0	HCC1143.1	0.062	0.938
0	CAL51.1	0.927	0.07299999999999995
0	CAL851.1	0.074	0.926
0	HCC1569.1	0.146	0.854
0	HCC70.1	0.017	0.983
0	DU4475.1	0.872	0.128
0	HCC1937.1	0.019	0.981
1	Hs_578T	0.9833455712855118	0.01665442871448819
1	HCC1187	0.0773616811953001	0.9226383188046999
1	MDAMB157	0.9849961023674191	0.01500389763258092
1	MDAMB436	0.9571366127957776	0.04286338720422245
1	BT549	0.9865139695527539	0.013486030447246056
1	BT20	0.03494048233048304	0.9650595176695169
1	BT549.1	0.9851980375195012	0.01480196248049881
1	CAL120	0.954443347672238	0.04555665232776196
1	CAL51	0.951422449167373	0.04857755083262705
1	CAL851	0.06133055596118465	0.9386694440388154
1	DU4475	0.8923828663649287	0.1076171336350713
1	HBL100	0.9713707909523325	0.028629209047667525
1	HCC1143	0.06626294389009299	0.933737056109907
1	HCC1187.1	0.09772547152562	0.90227452847438
1	HCC1395	0.9659165401138506	0.03408345988614936
1	HCC1569	0.11432533415609686	0.8856746658439032
1	HCC1599	0.026503441707716367	0.9734965582922837
1	HCC1806	0.12922161317414368	0.8707783868258563
1	HCC1937	0.024760505757435294	0.9752394942425647
1	HCC1954	0.05181840325372347	0.9481815967462766
1	HCC3153	0.0908593625700353	0.9091406374299646
1	HCC38	0.7464082038684176	0.25359179613158245
1	HCC70	0.022328895843805124	0.9776711041561948
1	HDQP1	0.04944923904054308	0.9505507609594569
1	HS578T	0.9895497996834244	0.01045020031657562
1	JIMT1	0.05065352819554675	0.9493464718044533
1	MACLS2	0.07632386194913178	0.9236761380508682
1	MB157	0.8614628657203945	0.13853713427960546
1	MDAMB157.1	0.9766768388576667	0.02332316114233335
1	MDAMB231	0.9782502521882409	0.02174974781175909
1	MDAMB436.1	0.9760585844664821	0.023941415533517918
