Generation	FeatureName	Importance
0	ENSG00000002746|HECW1|protein_coding	0.002
0	ENSG00000005001|PRSS22|protein_coding	0.002
0	ENSG00000006047|YBX2|protein_coding	0.001
0	ENSG00000006555|TTC22|protein_coding	0.000
0	ENSG00000006576|PHTF2|protein_coding	0.001
0	ENSG00000006625|GGCT|protein_coding	0.000
0	ENSG00000007168|PAFAH1B1|protein_coding	0.000
0	ENSG00000007255|TRAPPC6A|protein_coding	0.000
0	ENSG00000007944|MYLIP|protein_coding	0.000
0	ENSG00000008283|CYB561|protein_coding	0.000
0	ENSG00000008323|PLEKHG6|protein_coding	0.003
0	ENSG00000010270|STARD3NL|protein_coding	0.000
0	ENSG00000011028|MRC2|protein_coding	0.001
0	ENSG00000011347|SYT7|protein_coding	0.000
0	ENSG00000012779|ALOX5|protein_coding	0.000
0	ENSG00000015479|MATR3|protein_coding	0.000
0	ENSG00000016402|IL20RA|protein_coding	0.000
0	ENSG00000026025|VIM|protein_coding	0.000
0	ENSG00000027075|PRKCH|protein_coding	0.001
0	ENSG00000035115|SH3YL1|protein_coding	0.001
0	ENSG00000039068|CDH1|protein_coding	0.009
0	ENSG00000047188|YTHDC2|protein_coding	0.000
0	ENSG00000049167|ERCC8|protein_coding	0.001
0	ENSG00000049192|ADAMTS6|protein_coding	0.000
0	ENSG00000049283|EPN3|protein_coding	0.018
0	ENSG00000052344|PRSS8|protein_coding	0.036
0	ENSG00000054179|ENTPD2|protein_coding	0.001
0	ENSG00000058272|PPP1R12A|protein_coding	0.002
0	ENSG00000059377|TBXAS1|protein_coding	0.000
0	ENSG00000059758|CDK17|protein_coding	0.002
0	ENSG00000062038|CDH3|protein_coding	0.000
0	ENSG00000064270|ATP2C2|protein_coding	0.000
0	ENSG00000064547|LPAR2|protein_coding	0.000
0	ENSG00000064999|ANKS1A|protein_coding	0.000
0	ENSG00000065361|ERBB3|protein_coding	0.003
0	ENSG00000065802|ASB1|protein_coding	0.005
0	ENSG00000066027|PPP2R5A|protein_coding	0.000
0	ENSG00000066629|EML1|protein_coding	0.007
0	ENSG00000066739|ATG2B|protein_coding	0.001
0	ENSG00000067560|RHOA|protein_coding	0.000
0	ENSG00000068366|ACSL4|protein_coding	0.000
0	ENSG00000068654|POLR1A|protein_coding	0.001
0	ENSG00000069869|NEDD4|protein_coding	0.001
0	ENSG00000070190|DAPP1|protein_coding	0.002
0	ENSG00000070759|TESK2|protein_coding	0.000
0	ENSG00000070961|ATP2B1|protein_coding	0.003
0	ENSG00000071073|MGAT4A|protein_coding	0.000
0	ENSG00000072364|AFF4|protein_coding	0.000
0	ENSG00000072858|SIDT1|protein_coding	0.002
0	ENSG00000072958|AP1M1|protein_coding	0.003
0	ENSG00000073350|LLGL2|protein_coding	0.001
0	ENSG00000073803|MAP3K13|protein_coding	0.000
0	ENSG00000076554|TPD52|protein_coding	0.000
0	ENSG00000076826|CAMSAP3|protein_coding	0.010
0	ENSG00000077684|JADE1|protein_coding	0.000
0	ENSG00000078070|MCCC1|protein_coding	0.000
0	ENSG00000078081|LAMP3|protein_coding	0.000
0	ENSG00000079150|FKBP7|protein_coding	0.001
0	ENSG00000081087|OSTM1|protein_coding	0.000
0	ENSG00000081791|KIAA0141|protein_coding	0.000
0	ENSG00000082126|MPP4|protein_coding	0.001
0	ENSG00000082146|STRADB|protein_coding	0.000
0	ENSG00000082458|DLG3|protein_coding	0.001
0	ENSG00000083307|GRHL2|protein_coding	0.015
0	ENSG00000083312|TNPO1|protein_coding	0.001
0	ENSG00000085433|WDR47|protein_coding	0.000
0	ENSG00000085449|WDFY1|protein_coding	0.000
0	ENSG00000085552|IGSF9|protein_coding	0.000
0	ENSG00000088002|SULT2B1|protein_coding	0.000
0	ENSG00000089356|FXYD3|protein_coding	0.013
0	ENSG00000091039|OSBPL8|protein_coding	0.001
0	ENSG00000091640|SPAG7|protein_coding	0.000
0	ENSG00000091831|ESR1|protein_coding	0.010
0	ENSG00000091879|ANGPT2|protein_coding	0.013
0	ENSG00000092295|TGM1|protein_coding	0.000
0	ENSG00000094755|GABRP|protein_coding	0.001
0	ENSG00000095066|HOOK2|protein_coding	0.002
0	ENSG00000095585|BLNK|protein_coding	0.002
0	ENSG00000099337|KCNK6|protein_coding	0.002
0	ENSG00000100095|SEZ6L|protein_coding	0.000
0	ENSG00000100100|PIK3IP1|protein_coding	0.003
0	ENSG00000100379|KCTD17|protein_coding	0.000
