Feature	Suports
ENSG00000006047|YBX2|protein_coding	9
ENSG00000008323|PLEKHG6|protein_coding	10
ENSG00000039068|CDH1|protein_coding	10
ENSG00000049283|EPN3|protein_coding	10
ENSG00000052344|PRSS8|protein_coding	10
ENSG00000064270|ATP2C2|protein_coding	10
ENSG00000073350|LLGL2|protein_coding	10
ENSG00000083307|GRHL2|protein_coding	10
ENSG00000100842|EFS|protein_coding	10
ENSG00000102890|ELMO3|protein_coding	10
ENSG00000103067|ESRP2|protein_coding	10
ENSG00000105289|TJP3|protein_coding	10
ENSG00000105699|LSR|protein_coding	10
ENSG00000117595|IRF6|protein_coding	9
ENSG00000119411|BSPRY|protein_coding	10
ENSG00000125850|OVOL2|protein_coding	10
ENSG00000126460|PRRG2|protein_coding	10
ENSG00000129353|SLC44A2|protein_coding	10
ENSG00000129354|AP1M2|protein_coding	10
ENSG00000130545|CRB3|protein_coding	10
ENSG00000131037|EPS8L1|protein_coding	10
ENSG00000132698|RAB25|protein_coding	10
ENSG00000135480|KRT7|protein_coding	10
ENSG00000135525|MAP7|protein_coding	10
ENSG00000137747|TMPRSS13|protein_coding	10
ENSG00000140526|ABHD2|protein_coding	10
ENSG00000140937|CDH11|protein_coding	10
ENSG00000143036|SLC44A3|protein_coding	10
ENSG00000143341|HMCN1|protein_coding	10
ENSG00000143515|ATP8B2|protein_coding	8
ENSG00000144648|ACKR2|protein_coding	10
ENSG00000148516|ZEB1|protein_coding	10
ENSG00000148834|GSTO1|protein_coding	9
ENSG00000154240|CEP112|protein_coding	10
ENSG00000155970|MICU3|protein_coding	10
ENSG00000159128|IFNGR2|protein_coding	10
ENSG00000160111|CPAMD8|protein_coding	10
ENSG00000161960|EIF4A1|protein_coding	10
ENSG00000162366|PDZK1IP1|protein_coding	10
ENSG00000163291|PAQR3|protein_coding	10
ENSG00000163746|PLSCR2|protein_coding	10
ENSG00000164574|GALNT10|protein_coding	7
ENSG00000164695|CHMP4C|protein_coding	10
ENSG00000165929|TC2N|protein_coding	10
ENSG00000166510|CCDC68|protein_coding	10
ENSG00000166535|A2ML1|protein_coding	10
ENSG00000166780|C16orf45|protein_coding	10
ENSG00000166997|CNPY4|protein_coding	10
ENSG00000167674|ENSG00000167674|protein_coding	10
ENSG00000168453|HR|protein_coding	10
ENSG00000170445|HARS|protein_coding	7
ENSG00000170456|DENND5B|protein_coding	10
ENSG00000170464|DNAJC18|protein_coding	10
ENSG00000172243|CLEC7A|protein_coding	9
ENSG00000174292|TNK1|protein_coding	10
ENSG00000175707|KDF1|protein_coding	8
ENSG00000178075|GRAMD1C|protein_coding	10
ENSG00000178921|PFAS|protein_coding	10
ENSG00000179627|ZBTB42|protein_coding	10
ENSG00000180432|CYP8B1|protein_coding	10
ENSG00000181284|TMEM102|protein_coding	10
ENSG00000182287|AP1S2|protein_coding	8
ENSG00000183742|MACC1|protein_coding	10
ENSG00000184014|DENND5A|protein_coding	10
ENSG00000185989|RASA3|protein_coding	10
ENSG00000186854|TRABD2A|protein_coding	10
ENSG00000188505|NCCRP1|protein_coding	10
ENSG00000196872|KIAA1211L|protein_coding	10
ENSG00000197343|ZNF655|protein_coding	10
ENSG00000197535|MYO5A|protein_coding	10
ENSG00000198612|COPS8|protein_coding	10
ENSG00000204217|BMPR2|protein_coding	10
ENSG00000204618|RNF39|protein_coding	10
ENSG00000221988|PPT2|protein_coding	10
ENSG00000233493|TMEM238|protein_coding	10
ENSG00000235750|KIAA0040|protein_coding	10
ENSG00000241484|ARHGAP8|protein_coding	10
ENSG00000241852|C8orf58|protein_coding	10
ENSG00000259371|ENSG00000259371|protein_coding	10
ENSG00000264187|ENSG00000264187|protein_coding	10
ENSG00000273217|ENSG00000273217|protein_coding	10
