Generation	CellName	Probability_BASALB	Probability_BASALA
0	Hs_578T	0.981	0.019000000000000017
0	HCC1187	0.044	0.956
0	MDAMB157	0.973	0.027000000000000024
0	MDAMB436	0.958	0.04200000000000004
0	BT549	0.981	0.019000000000000017
0	BT20	0.045	0.955
0	BT549.1	0.98	0.020000000000000018
0	CAL120	0.963	0.03700000000000003
0	CAL51	0.957	0.04300000000000004
0	CAL851	0.05	0.95
0	DU4475	0.909	0.09099999999999997
0	HBL100	0.984	0.016000000000000014
0	HCC1143	0.071	0.929
0	HCC1187.1	0.074	0.926
0	HCC1395	0.965	0.03500000000000003
0	HCC1569	0.089	0.911
0	HCC1599	0.038	0.962
0	HCC1806	0.123	0.877
0	HCC1937	0.022	0.978
0	HCC1954	0.032	0.968
0	HCC3153	0.094	0.906
0	HCC38	0.799	0.20099999999999996
0	HCC70	0.026	0.974
0	HDQP1	0.045	0.955
0	HS578T	0.984	0.016000000000000014
0	JIMT1	0.06	0.94
0	MACLS2	0.068	0.9319999999999999
0	MB157	0.861	0.139
0	MDAMB157.1	0.976	0.02400000000000002
0	MDAMB231	0.981	0.019000000000000017
0	MDAMB436.1	0.971	0.029000000000000026
0	MDAMB468	0.036	0.964
0	MX1	0.137	0.863
0	SKBR7	0.946	0.05400000000000005
0	SUM102	0.721	0.279
0	SUM1315	0.984	0.016000000000000014
0	SUM149	0.118	0.882
0	SUM159	0.976	0.02400000000000002
0	SUM229	0.18	0.8200000000000001
0	SW527	0.917	0.08299999999999996
0	UACC3199	0.762	0.238
0	CAL120.1	0.966	0.03400000000000003
0	HCC38.1	0.778	0.22199999999999998
0	HCC1599.1	0.045	0.955
0	HCC1395.1	0.941	0.05900000000000005
0	MDAMB468.1	0.012	0.988
0	MDAMB231.1	0.96	0.040000000000000036
0	HCC1954.1	0.028	0.972
0	JIMT1.1	0.046	0.954
0	HDQP1.1	0.057	0.943
0	HMC18	0.93	0.06999999999999995
0	BT20.1	0.026	0.974
0	HCC1806.1	0.124	0.876
0	HCC2157	0.064	0.9359999999999999
0	HCC1500	0.132	0.868
0	HCC1143.1	0.062	0.938
0	CAL51.1	0.927	0.07299999999999995
0	CAL851.1	0.074	0.926
0	HCC1569.1	0.146	0.854
0	HCC70.1	0.017	0.983
0	DU4475.1	0.872	0.128
0	HCC1937.1	0.019	0.981
1	Hs_578T	0.9845524486642334	0.015447551335766585
1	HCC1187	0.06046812600826138	0.9395318739917387
1	MDAMB157	0.9820173566127647	0.01798264338723532
1	MDAMB436	0.9707914079882632	0.029208592011736756
1	BT549	0.9882982989384875	0.01170170106151247
1	BT20	0.034550212059614616	0.9654497879403854
1	BT549.1	0.9765276211736168	0.0234723788263832
1	CAL120	0.9715068068404195	0.028493193159580543
1	CAL51	0.9579372557570763	0.042062744242923666
1	CAL851	0.052643979923855326	0.9473560200761447
1	DU4475	0.8799417374111046	0.1200582625888954
1	HBL100	0.9632584323136955	0.036741567686304544
1	HCC1143	0.059977615667027334	0.9400223843329727
1	HCC1187.1	0.10142280946564952	0.8985771905343505
1	HCC1395	0.975073913578915	0.02492608642108496
1	HCC1569	0.1112296180021951	0.8887703819978049
1	HCC1599	0.02557062299422872	0.9744293770057713
1	HCC1806	0.09981466124268694	0.9001853387573131
1	HCC1937	0.01572748257736201	0.984272517422638
1	HCC1954	0.031675604702729065	0.9683243952972709
1	HCC3153	0.07230350907368883	0.9276964909263111
1	HCC38	0.7447157529163747	0.2552842470836253
1	HCC70	0.02492574001894154	0.9750742599810585
1	HDQP1	0.017329106918022544	0.9826708930819774
1	HS578T	0.9913895149605366	0.008610485039463378
1	JIMT1	0.04719051729530931	0.9528094827046907
1	MACLS2	0.060006313608164295	0.9399936863918357
1	MB157	0.834125966438563	0.16587403356143704
1	MDAMB157.1	0.9811785554393339	0.018821444560666145
1	MDAMB231	0.9639355085959521	0.03606449140404788
1	MDAMB436.1	0.982467545766188	0.017532454233812
