Generation	FeatureName	Importance
0	CD44_chr11:35196745-35196874	0.004
0	CD44_chr11:35198120-35198246	0.011
0	CD44_chr11:35201670-35201787	0.012
0	CD44_chr11:35204511-35204640	0.006
0	CD44_chr11:35206111-35206243	0.006
0	CD44_chr11:35209964-35210054	0.018
0	ARL14EP_chr11:30330885-30331374	0.001
0	PRRG4_chr11:32840106-32840239	0.001
0	C11orf52_chr11:111925652-111925714	0.004
0	SAC3D1_chr11:65043024-65043164	0.003
0	CLIP1_chr12:122351110-122351143	0.000
0	CLIP1_chr12:122347374-122347479	0.000
0	GNS_chr12:64756666-64756762	0.000
0	ERBB3_chr12:56098499-56098575	0.000
0	HNRNPA1_chr12:54282799-54282874	0.000
0	RALGPS2_chr1:178892229-178892307	0.019
0	YBX3_chr12:10709907-10710114	0.003
0	FBRSL1_chr12:132527952-132527988	0.000
0	KRT7_chr12:52245411-52245632	0.001
0	CAB39L_chr13:49401132-49401270	0.001
0	TMEM120B_chr12:121743628-121743747	0.001
0	NHLRC3_chr13:39042104-39042305	0.000
0	POMT2_chr14:77302834-77302943	0.002
0	POMT2_chr14:77298688-77298771	0.001
0	INF2_chr14:104715283-104715340	0.000
0	VPS39_chr15:42192065-42192098	0.001
0	CYFIP1_chr15:22872824-22872972	0.000
0	MYO9A_chr15:71951776-71951896	0.019
0	MYO9A_chr15:71892964-71893177	0.000
0	PRC1_chr15:90969078-90969120	0.003
0	ZWILCH_chr15:66508840-66508892	0.000
0	DTWD1_chr15:49631000-49631058	0.003
0	TMED3_chr15:79314540-79314655	0.001
0	PDE8A_chr15:85091043-85091181	0.000
0	SPG11_chr15:44598630-44598836	0.002
0	BNIP2_chr15:59668102-59668138	0.002
0	SEC11A_chr15:84714730-84714866	0.000
0	EMC8_chr16:85780378-85780473	0.005
0	ENSG00000283332_chr16:67544955-67545117	0.001
0	TSC2_chr16:2077597-2077726	0.028
0	UBN1_chr16:4877384-4877474	0.000
0	NFATC3_chr16:68121986-68123121	0.000
0	SLC50A1_chr1:155136827-155136951	0.002
0	FAM65A_chr16:67544955-67545117	0.002
0	ARHGAP17_chr16:24939363-24939597	0.000
0	MACF1_chr1:39480919-39481030	0.001
0	PFAS_chr17:8265287-8265468	0.009
0	ARL16_chr17:81683012-81683126	0.002
0	NF1_chr17:31252937-31253000	0.002
0	PCYT2_chr17:81907203-81907257	0.023
0	TRIM37_chr17:59001597-59001714	0.008
0	MPDU1_chr17:7586691-7586777	0.001
0	NRDC_chr1:51819799-51819873	0.000
0	PLOD1_chr1:11957841-11957943	0.000
0	FOXK2_chr17:82595781-82596191	0.002
0	TUFT1_chr1:151562090-151562165	0.001
0	CCDC57_chr17:82179026-82179189	0.001
0	MFSD2A_chr1:39966600-39966691	0.002
0	MFSD2A_chr1:39966810-39966932	0.002
0	MFSD2A_chr1:39967085-39967169	0.003
0	MXRA7_chr17:76683846-76683927	0.001
0	SPAG9_chr17:50975862-50975901	0.006
0	ACSF2_chr17:50461241-50461355	0.003
0	G6PC3_chr17:44074968-44075087	0.001
0	TXNL4A_chr18:79976717-79976787	0.002
0	INO80C_chr18:35480452-35480563	0.003
0	INO80C_chr18:35479299-35479411	0.002
0	TYMS_chr18:669071-669173	0.002
0	EVI5L_chr19:7857091-7857124	0.001
0	LBR_chr1:225410290-225410416	0.001
0	TEAD2_chr19:49357251-49357314	0.002
0	MKNK2_chr19:2046185-2046283	0.001
0	ADGRL1_chr19:14164620-14164705	0.002
0	DNM2_chr19:10796060-10796199	0.001
0	DNM2_chr19:10808568-10808580	0.010
0	BORCS8-MEF2B_chr19:19180685-19180761	0.002
0	MYO9B_chr19:17180926-17181040	0.005
0	EPN1_chr19:55677549-55677734	0.001
0	ENSG00000268362_chr19:24048936-24049014	0.009
0	GPI_chr19:34399206-34399335	0.001
0	LSR_chr19:35262545-35262692	0.004
0	CARM1_chr19:10921374-10921443	0.003
0	TRIP10_chr19:6746028-6746196	0.003
0	POP4_chr19:29608656-29608709	0.003
0	SPINT2_chr19:38283626-38283797	0.001
0	GYS1_chr19:48982719-48982837	0.001
0	RALY_chr20:34077027-34077245	0.004
0	LSM14B_chr20:62130218-62130296	0.006
0	DNMT3B_chr20:32805337-32805407	0.009
0	DNMT3B_chr20:32806208-32806327	0.003
0	CDS2_chr20:5185757-5185826	0.000
0	TCEA2_chr20:64068046-64068134	0.002
0	CDC45_chr22:19507765-19507864	0.003
0	ADARB1_chr21:45118563-45118619	0.000
0	AP1B1_chr22:29329711-29329720	0.002
0	USP18_chr22:18173149-18173281	0.000
0	LAS1L_chrX:65533609-65533735	0.021
0	ZFX_chrX:24151690-24151800	0.003
