Feature	Suports
CD44_chr11:35209964-35210054	10
BNIP2_chr15:59668102-59668138	10
TSC2_chr16:2077597-2077726	8
SPAG9_chr17:50975862-50975901	10
EVI5L_chr19:7857091-7857124	10
DNM2_chr19:10796060-10796199	10
DNM2_chr19:10808568-10808580	10
AP1B1_chr22:29329711-29329720	10
MBNL1_chr3:152446703-152446757	10
PLOD2_chr3:146077861-146077924	10
ENAH_chr1:225504990-225505053	9
RUBCN_chr3:197691073-197691148	7
SEC31A_chr4:82842184-82842481	10
FAT1_chr4:186590367-186590403	10
ANXA6_chr5:151110626-151110644	10
CAST_chr5:96726793-96726859	10
KIF13A_chr6:17771113-17771218	10
ARHGEF11_chr1:156938417-156938513	10
CSF1_chr1:109923165-109923711	10
DNM1_chr9:128247923-128247935	10
FNBP1_chr9:129915965-129915980	10
SLK_chr10:104010815-104010908	10
ATP5C1_chr10:7806973-7807010	10
CTNND1_chr11:57789036-57789155	10
CTNND1_chr11:57791493-57791673	10
