Feature	rank_it_0	rank_it_1	rank_it_2	rank_it_3	rank_it_4	rank_it_5	rank_it_6	rank_it_7	rank_it_8	rank_it_9
CD44_chr11:35196745-35196874	88	57	83	59	56	96	90	137	111	74
CD44_chr11:35198120-35198246	14	28	34	31	21	23	14	44	29	42
CD44_chr11:35201670-35201787	55	36	45	80	56	56	70	59	70	69
CD44_chr11:35204511-35204640	11	3	16	18	12	8	10	14	35	35
CD44_chr11:35206111-35206243	12	13	32	25	15	33	13	35	11	15
CD44_chr11:35209964-35210054	1	1	1	1	1	1	1	1	1	1
ARL14EP_chr11:30330885-30331374	116	107	111	94	141	108	96	89	120	164
PRRG4_chr11:32840106-32840239	76	122	117	167	145	123	145	104	146	158
C11orf52_chr11:111925652-111925714	171	172	159	172	151	167	167	151	176	167
SAC3D1_chr11:65043024-65043164	85	71	79	161	139	85	76	139	89	105
CLIP1_chr12:122351110-122351143	83	102	73	92	125	135	109	98	78	136
CLIP1_chr12:122347374-122347479	15	15	11	27	19	21	11	27	20	20
GNS_chr12:64756666-64756762	166	162	167	156	168	178	160	181	152	141
ERBB3_chr12:56098499-56098575	179	179	174	169	160	169	171	166	157	180
HNRNPA1_chr12:54282799-54282874	140	147	161	159	137	155	141	174	135	168
RALGPS2_chr1:178892229-178892307	71	93	66	47	51	68	56	69	47	52
YBX3_chr12:10709907-10710114	64	41	68	57	37	63	79	70	53	37
FBRSL1_chr12:132527952-132527988	135	160	89	139	52	124	98	89	91	110
KRT7_chr12:52245411-52245632	160	146	168	159	171	136	156	175	156	127
CAB39L_chr13:49401132-49401270	101	83	95	112	115	78	87	63	54	89
TMEM120B_chr12:121743628-121743747	138	175	143	179	159	177	168	178	162	182
NHLRC3_chr13:39042104-39042305	110	134	129	143	103	137	138	100	148	135
POMT2_chr14:77302834-77302943	97	114	154	130	90	119	125	146	160	155
POMT2_chr14:77298688-77298771	101	55	121	152	108	98	117	67	85	76
INF2_chr14:104715283-104715340	2	1	2	2	2	1	2	2	2	2
VPS39_chr15:42192065-42192098	6	6	3	6	2	5	25	3	7	5
CYFIP1_chr15:22872824-22872972	68	62	46	51	78	43	68	66	57	61
MYO9A_chr15:71951776-71951896	64	60	71	72	67	76	49	36	43	65
MYO9A_chr15:71892964-71893177	75	72	128	76	93	159	74	126	74	66
PRC1_chr15:90969078-90969120	114	101	154	130	93	135	129	107	170	123
ZWILCH_chr15:66508840-66508892	27	25	32	46	30	27	40	26	41	48
DTWD1_chr15:49631000-49631058	133	68	93	87	101	143	72	94	155	100
TMED3_chr15:79314540-79314655	153	116	155	117	126	84	133	130	130	134
PDE8A_chr15:85091043-85091181	156	154	181	126	168	173	173	171	163	143
SPG11_chr15:44598630-44598836	132	119	156	101	152	66	158	168	127	127
BNIP2_chr15:59668102-59668138	1	1	1	1	1	1	1	1	1	1
SEC11A_chr15:84714730-84714866	147	127	63	103	112	92	122	141	102	148
EMC8_chr16:85780378-85780473	31	29	37	19	19	27	17	29	27	28
ENSG00000283332_chr16:67544955-67545117	9	10	11	11	5	15	26	12	18	13
TSC2_chr16:2077597-2077726	1	1	2	1	1	1	1	2	1	1
UBN1_chr16:4877384-4877474	108	129	60	115	131	97	123	103	137	102
NFATC3_chr16:68121986-68123121	131	153	135	175	149	175	178	125	168	151
SLC50A1_chr1:155136827-155136951	41	49	71	30	79	37	29	55	62	55
FAM65A_chr16:67544955-67545117	39	34	39	43	41	51	39	30	48	32
ARHGAP17_chr16:24939363-24939597	2	2	2	2	1	2	2	2	2	2
MACF1_chr1:39480919-39481030	1	2	2	1	1	2	2	1	2	2
PFAS_chr17:8265287-8265468	14	17	18	11	23	13	21	16	28	29
ARL16_chr17:81683012-81683126	155	156	166	99	145	164	112	91	150	160
NF1_chr17:31252937-31253000	125	140	78	122	101	146	164	78	138	60
PCYT2_chr17:81907203-81907257	79	66	55	75	98	86	66	82	64	70
TRIM37_chr17:59001597-59001714	151	105	165	153	107	127	136	111	116	154
MPDU1_chr17:7586691-7586777	89	67	49	101	41	62	61	74	69	71
