Generation	FeatureName	Importance
0	ENSG00000002746|HECW1|protein_coding	0.002
0	ENSG00000005001|PRSS22|protein_coding	0.001
0	ENSG00000006047|YBX2|protein_coding	0.000
0	ENSG00000006555|TTC22|protein_coding	0.000
0	ENSG00000006576|PHTF2|protein_coding	0.000
0	ENSG00000006625|GGCT|protein_coding	0.000
0	ENSG00000007168|PAFAH1B1|protein_coding	0.000
0	ENSG00000007255|TRAPPC6A|protein_coding	0.000
0	ENSG00000007944|MYLIP|protein_coding	0.000
0	ENSG00000008283|CYB561|protein_coding	0.000
0	ENSG00000008323|PLEKHG6|protein_coding	0.003
0	ENSG00000010270|STARD3NL|protein_coding	0.000
0	ENSG00000011028|MRC2|protein_coding	0.001
0	ENSG00000011347|SYT7|protein_coding	0.000
0	ENSG00000012779|ALOX5|protein_coding	0.001
0	ENSG00000015479|MATR3|protein_coding	0.000
0	ENSG00000016402|IL20RA|protein_coding	0.000
0	ENSG00000026025|VIM|protein_coding	0.000
0	ENSG00000027075|PRKCH|protein_coding	0.000
0	ENSG00000035115|SH3YL1|protein_coding	0.000
0	ENSG00000039068|CDH1|protein_coding	0.005
0	ENSG00000047188|YTHDC2|protein_coding	0.000
0	ENSG00000049167|ERCC8|protein_coding	0.000
0	ENSG00000049192|ADAMTS6|protein_coding	0.000
0	ENSG00000049283|EPN3|protein_coding	0.014
0	ENSG00000052344|PRSS8|protein_coding	0.024
0	ENSG00000054179|ENTPD2|protein_coding	0.001
0	ENSG00000058272|PPP1R12A|protein_coding	0.000
0	ENSG00000059377|TBXAS1|protein_coding	0.000
0	ENSG00000059758|CDK17|protein_coding	0.001
0	ENSG00000062038|CDH3|protein_coding	0.000
0	ENSG00000064270|ATP2C2|protein_coding	0.000
0	ENSG00000064547|LPAR2|protein_coding	0.000
0	ENSG00000064999|ANKS1A|protein_coding	0.000
0	ENSG00000065361|ERBB3|protein_coding	0.003
0	ENSG00000065802|ASB1|protein_coding	0.002
0	ENSG00000066027|PPP2R5A|protein_coding	0.000
0	ENSG00000066629|EML1|protein_coding	0.008
0	ENSG00000066739|ATG2B|protein_coding	0.000
0	ENSG00000067560|RHOA|protein_coding	0.000
0	ENSG00000068366|ACSL4|protein_coding	0.000
0	ENSG00000068654|POLR1A|protein_coding	0.001
0	ENSG00000069869|NEDD4|protein_coding	0.000
0	ENSG00000070190|DAPP1|protein_coding	0.003
0	ENSG00000070759|TESK2|protein_coding	0.000
0	ENSG00000070961|ATP2B1|protein_coding	0.001
0	ENSG00000071073|MGAT4A|protein_coding	0.000
0	ENSG00000072364|AFF4|protein_coding	0.000
0	ENSG00000072858|SIDT1|protein_coding	0.002
0	ENSG00000072958|AP1M1|protein_coding	0.002
0	ENSG00000073350|LLGL2|protein_coding	0.000
0	ENSG00000073803|MAP3K13|protein_coding	0.000
0	ENSG00000076554|TPD52|protein_coding	0.000
0	ENSG00000076826|CAMSAP3|protein_coding	0.005
0	ENSG00000077684|JADE1|protein_coding	0.000
0	ENSG00000078070|MCCC1|protein_coding	0.000
0	ENSG00000078081|LAMP3|protein_coding	0.000
0	ENSG00000079150|FKBP7|protein_coding	0.001
0	ENSG00000081087|OSTM1|protein_coding	0.000
0	ENSG00000081791|KIAA0141|protein_coding	0.000
0	ENSG00000082126|MPP4|protein_coding	0.000
0	ENSG00000082146|STRADB|protein_coding	0.000
0	ENSG00000082458|DLG3|protein_coding	0.000
0	ENSG00000083307|GRHL2|protein_coding	0.007
0	ENSG00000083312|TNPO1|protein_coding	0.000
0	ENSG00000085433|WDR47|protein_coding	0.000
0	ENSG00000085449|WDFY1|protein_coding	0.000
0	ENSG00000085552|IGSF9|protein_coding	0.000
0	ENSG00000088002|SULT2B1|protein_coding	0.000
0	ENSG00000089356|FXYD3|protein_coding	0.015
0	ENSG00000091039|OSBPL8|protein_coding	0.001
0	ENSG00000091640|SPAG7|protein_coding	0.000
0	ENSG00000091831|ESR1|protein_coding	0.005
0	ENSG00000091879|ANGPT2|protein_coding	0.005
0	ENSG00000092295|TGM1|protein_coding	0.002
0	ENSG00000094755|GABRP|protein_coding	0.000
0	ENSG00000095066|HOOK2|protein_coding	0.000
0	ENSG00000095585|BLNK|protein_coding	0.002
0	ENSG00000099337|KCNK6|protein_coding	0.000
0	ENSG00000100095|SEZ6L|protein_coding	0.000
0	ENSG00000100100|PIK3IP1|protein_coding	0.001
0	ENSG00000100379|KCTD17|protein_coding	0.000
0	ENSG00000100842|EFS|protein_coding	0.001
0	ENSG00000100934|SEC23A|protein_coding	0.000
0	ENSG00000102038|SMARCA1|protein_coding	0.001
0	ENSG00000102181|CD99L2|protein_coding	0.001
0	ENSG00000102243|VGLL1|protein_coding	0.005
0	ENSG00000102271|KLHL4|protein_coding	0.000
0	ENSG00000102317|RBM3|protein_coding	0.000
0	ENSG00000102781|KATNAL1|protein_coding	0.001
0	ENSG00000102886|GDPD3|protein_coding	0.000
0	ENSG00000102890|ELMO3|protein_coding	0.000
0	ENSG00000102962|CCL22|protein_coding	0.000
0	ENSG00000102996|MMP15|protein_coding	0.000
0	ENSG00000103037|SETD6|protein_coding	0.000
0	ENSG00000103047|TANGO6|protein_coding	0.000
0	ENSG00000103067|ESRP2|protein_coding	0.000
0	ENSG00000103546|SLC6A2|protein_coding	0.000
0	ENSG00000104140|RHOV|protein_coding	0.000
0	ENSG00000104219|ZDHHC2|protein_coding	0.006
0	ENSG00000104375|STK3|protein_coding	0.000
0	ENSG00000104413|ESRP1|protein_coding	0.002
0	ENSG00000104643|MTMR9|protein_coding	0.001
0	ENSG00000104660|LEPROTL1|protein_coding	0.000
0	ENSG00000104691|UBXN8|protein_coding	0.000
0	ENSG00000104728|ARHGEF10|protein_coding	0.000
0	ENSG00000104808|DHDH|protein_coding	0.000
0	ENSG00000105141|CASP14|protein_coding	0.001
0	ENSG00000105289|TJP3|protein_coding	0.002
0	ENSG00000105329|TGFB1|protein_coding	0.000
0	ENSG00000105357|MYH14|protein_coding	0.000
0	ENSG00000105519|CAPS|protein_coding	0.001
0	ENSG00000105523|FAM83E|protein_coding	0.001
0	ENSG00000105605|CACNG7|protein_coding	0.000
0	ENSG00000105699|LSR|protein_coding	0.002
0	ENSG00000105854|PON2|protein_coding	0.000
0	ENSG00000107625|DDX50|protein_coding	0.000
0	ENSG00000107874|CUEDC2|protein_coding	0.000
0	ENSG00000108244|KRT23|protein_coding	0.000
0	ENSG00000108797|CNTNAP1|protein_coding	0.001
0	ENSG00000108961|RANGRF|protein_coding	0.000
0	ENSG00000109062|SLC9A3R1|protein_coding	0.000
0	ENSG00000109680|TBC1D19|protein_coding	0.000
0	ENSG00000109814|UGDH|protein_coding	0.000
0	ENSG00000110042|DTX4|protein_coding	0.001
0	ENSG00000110723|EXPH5|protein_coding	0.000
0	ENSG00000110841|PPFIBP1|protein_coding	0.000
0	ENSG00000110880|CORO1C|protein_coding	0.001
0	ENSG00000111145|ELK3|protein_coding	0.000
0	ENSG00000111348|ARHGDIB|protein_coding	0.000
0	ENSG00000111450|STX2|protein_coding	0.002
0	ENSG00000111490|TBC1D30|protein_coding	0.001
0	ENSG00000111615|KRR1|protein_coding	0.002
0	ENSG00000111679|PTPN6|protein_coding	0.000
0	ENSG00000111816|FRK|protein_coding	0.000
0	ENSG00000111860|CEP85L|protein_coding	0.000
0	ENSG00000112031|MTRF1L|protein_coding	0.001
0	ENSG00000112796|ENPP5|protein_coding	0.000
0	ENSG00000112812|PRSS16|protein_coding	0.000
0	ENSG00000113558|SKP1|protein_coding	0.000
0	ENSG00000113583|C5orf15|protein_coding	0.000
0	ENSG00000113621|TXNDC15|protein_coding	0.000
0	ENSG00000113658|SMAD5|protein_coding	0.001
0	ENSG00000113721|PDGFRB|protein_coding	0.001
0	ENSG00000114026|OGG1|protein_coding	0.001
0	ENSG00000114166|KAT2B|protein_coding	0.000
0	ENSG00000114353|GNAI2|protein_coding	0.000
0	ENSG00000114480|GBE1|protein_coding	0.000
0	ENSG00000115020|PIKFYVE|protein_coding	0.000
0	ENSG00000115339|GALNT3|protein_coding	0.000
0	ENSG00000115355|CCDC88A|protein_coding	0.004
0	ENSG00000115607|IL18RAP|protein_coding	0.000
0	ENSG00000115758|ODC1|protein_coding	0.000
0	ENSG00000115966|ATF2|protein_coding	0.000
0	ENSG00000116039|ATP6V1B1|protein_coding	0.000
0	ENSG00000116132|PRRX1|protein_coding	0.000
0	ENSG00000116670|MAD2L2|protein_coding	0.000
0	ENSG00000116809|ZBTB17|protein_coding	0.000
0	ENSG00000117115|PADI2|protein_coding	0.000
0	ENSG00000117266|CDK18|protein_coding	0.000
0	ENSG00000117385|P3H1|protein_coding	0.003
0	ENSG00000117480|FAAH|protein_coding	0.001
0	ENSG00000117595|IRF6|protein_coding	0.002
0	ENSG00000118496|FBXO30|protein_coding	0.000
0	ENSG00000118762|PKD2|protein_coding	0.001
0	ENSG00000118849|RARRES1|protein_coding	0.001
0	ENSG00000118965|WDR35|protein_coding	0.002
0	ENSG00000119004|CYP20A1|protein_coding	0.001
0	ENSG00000119411|BSPRY|protein_coding	0.005
0	ENSG00000120162|MOB3B|protein_coding	0.001
0	ENSG00000120278|PLEKHG1|protein_coding	0.000
0	ENSG00000121380|BCL2L14|protein_coding	0.000
