Feature	rank_it_0	rank_it_1	rank_it_2	rank_it_3	rank_it_4	rank_it_5	rank_it_6	rank_it_7	rank_it_8	rank_it_9
ENSG00000002746|HECW1|protein_coding	304	520	717	470	318	491	236	437	350	709
ENSG00000005001|PRSS22|protein_coding	377	436	449	396	437	298	273	264	524	388
ENSG00000006047|YBX2|protein_coding	152	317	131	216	152	377	145	255	311	403
ENSG00000006555|TTC22|protein_coding	471	480	717	575	331	628	519	658	399	709
ENSG00000006576|PHTF2|protein_coding	277	207	348	323	180	331	388	430	219	373
ENSG00000006625|GGCT|protein_coding	469	290	304	518	370	337	264	343	156	289
ENSG00000007168|PAFAH1B1|protein_coding	660	659	588	687	281	729	597	717	560	433
ENSG00000007255|TRAPPC6A|protein_coding	524	585	588	472	715	729	472	509	524	362
ENSG00000007944|MYLIP|protein_coding	261	406	554	647	426	671	651	445	715	637
ENSG00000008283|CYB561|protein_coding	385	470	239	205	275	283	338	303	361	458
ENSG00000008323|PLEKHG6|protein_coding	576	196	125	394	189	136	141	147	524	152
ENSG00000010270|STARD3NL|protein_coding	71	49	61	59	43	54	45	115	50	56
ENSG00000011028|MRC2|protein_coding	298	382	391	518	655	325	465	658	472	484
ENSG00000011347|SYT7|protein_coding	458	379	318	345	518	360	367	260	287	282
ENSG00000012779|ALOX5|protein_coding	524	373	353	304	518	323	597	448	355	604
ENSG00000015479|MATR3|protein_coding	282	344	187	310	563	127	123	177	213	202
ENSG00000016402|IL20RA|protein_coding	356	311	293	329	240	628	475	570	261	428
ENSG00000026025|VIM|protein_coding	576	520	439	575	518	671	546	616	407	265
ENSG00000027075|PRKCH|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000035115|SH3YL1|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000039068|CDH1|protein_coding	102	133	104	112	114	150	153	154	147	116
ENSG00000047188|YTHDC2|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000049167|ERCC8|protein_coding	576	487	588	463	495	729	702	658	715	676
ENSG00000049192|ADAMTS6|protein_coding	261	204	176	183	238	172	251	226	331	358
ENSG00000049283|EPN3|protein_coding	37	40	39	32	39	45	37	44	39	38
ENSG00000052344|PRSS8|protein_coding	135	212	288	269	164	438	222	264	605	140
ENSG00000054179|ENTPD2|protein_coding	329	265	263	432	518	388	385	690	605	328
ENSG00000058272|PPP1R12A|protein_coding	81	70	66	130	83	91	102	65	56	96
ENSG00000059377|TBXAS1|protein_coding	122	109	103	139	161	130	93	150	170	128
ENSG00000059758|CDK17|protein_coding	118	171	126	119	276	409	233	99	187	269
ENSG00000062038|CDH3|protein_coding	232	386	388	436	409	295	478	570	394	241
ENSG00000064270|ATP2C2|protein_coding	406	222	478	317	378	340	301	326	493	219
ENSG00000064547|LPAR2|protein_coding	524	331	345	452	350	509	546	406	337	260
ENSG00000064999|ANKS1A|protein_coding	507	585	491	575	518	671	597	570	370	569
ENSG00000065361|ERBB3|protein_coding	204	170	372	152	278	163	277	220	164	172
ENSG00000065802|ASB1|protein_coding	105	179	152	157	163	215	201	332	194	435
ENSG00000066027|PPP2R5A|protein_coding	147	105	414	170	168	144	449	168	524	227
ENSG00000066629|EML1|protein_coding	717	716	522	715	563	729	597	449	669	637
ENSG00000066739|ATG2B|protein_coding	431	520	482	544	621	227	560	403	605	419
ENSG00000067560|RHOA|protein_coding	121	299	327	91	488	117	310	147	281	86
ENSG00000068366|ACSL4|protein_coding	473	585	522	687	387	599	597	658	669	569
ENSG00000068654|POLR1A|protein_coding	717	659	588	446	621	671	597	570	460	272
ENSG00000069869|NEDD4|protein_coding	162	346	198	171	385	188	214	222	276	152
ENSG00000070190|DAPP1|protein_coding	355	323	588	602	296	469	546	658	605	401
ENSG00000070759|TESK2|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000070961|ATP2B1|protein_coding	2	2	1	2	2	8	2	3	1	7
ENSG00000071073|MGAT4A|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000072364|AFF4|protein_coding	19	26	21	19	23	34	24	17	24	19
ENSG00000072858|SIDT1|protein_coding	576	520	272	555	198	357	326	289	230	487
ENSG00000072958|AP1M1|protein_coding	238	437	258	198	518	420	220	297	307	244
ENSG00000073350|LLGL2|protein_coding	275	520	254	518	589	263	348	203	317	228
